الميناء,2018,2019,2020,2021,feuille
صفاقس,364.0,750.0,1054.0,978.0,Feuil1
قرقنة,8606.0,17720.0,6649.0,6803.0,Feuil1
المحرس,576.0,1186.0,936.0,685.0,Feuil1
اللوزة,1296.0,2668.0,1186.0,1203.0,Feuil1
سيدي منصور,199.0,410.0,1044.0,277.0,Feuil1
الصخيرة,334.0,688.0,274.0,285.0,Feuil1
العوابد,141.0,290.0,97.0,99.0,Feuil1
الزبوسة,390.0,803.0,51.0,7.0,Feuil1
عقارب,,,,,Feuil1
المجموع,11906.0,24515.0,11291.0,10336.0,Feuil1
