نوع_الصيد,2019,2020,2021,feuille
الصيد الساحلي,7233.5,7303.081,7089,Feuil1
الصيد بالجر,7026.3,8070.0,9472,Feuil1
الصيد بالأضواء,7191.1,7229.502,5872,Feuil1
صيد الـتـن,360.4,430.0,443,Feuil1
تربية الأسماك,1621.0,2527.5,3301,Feuil1
الجـمـلـة (طن),23432.300000000003,25560.083,26177,Feuil1
