annee,delegation,terres_agricoles_en_ha,terres_non_labourables_en_ha,parcours_et_forets_en_ha,feuille
2022,NABEUL,3895,1974,1323,Feuil1
2022,DAR CHAABANE EL FEHRI,5601,678,915,Feuil1
2022,BENI KHIAR,8855,1299,713,Feuil1
2022,KORBA,18865,1953,25,Feuil1
2022,MENZEL TEMIME,20361,8765,1135,Feuil1
2022,EL MIDA,13785,2942,1492,Feuil1
2022,KELIBIA,10663,1471,684,Feuil1
2022,HAMMAM EL GUEZAZ,5698,583,1549,Feuil1
2022,EL HAOUARIA,20359,1833,11866,Feuil1
2022,TAKILSA,13822,454,12820,Feuil1
2022,SOLIMAN,8155,2931,3095,Feuil1
2022,MENZEL BOUZELFA,11389,280,2862,Feuil1
2022,BENI KHALLED,9924,611,817,Feuil1
2022,GROMBALIA,19124,1349,8921,Feuil1
2022,BOUARGOUB,11361,946,1677,Feuil1
2022,HAMMAMET,17487,3702,11135,Feuil1
2023,NABEUL,3895,1974,1323,Feuil1
2023,DAR CHAABANE EL FEHRI,5601,678,915,Feuil1
2023,BENI KHIAR,8855,1299,713,Feuil1
2023,KORBA,18865,1953,25,Feuil1
2023,MENZEL TEMIME,20361,745,1135,Feuil1
2023,EL MIDA,13785,2942,1492,Feuil1
2023,KELIBIA,10663,1471,684,Feuil1
2023,HAMMAM EL GUEZAZ,5698,583,1549,Feuil1
2023,EL HAOUARIA,20359,1833,11866,Feuil1
2023,TAKILSA,13822,454,12820,Feuil1
2023,SOLIMAN,8155,2931,3095,Feuil1
2023,MENZEL BOUZELFA,11389,503,2862,Feuil1
2023,BENI KHALLED,9924,611,817,Feuil1
2023,GROMBALIA,19124,1349,8921,Feuil1
2023,BOUARGOUB,11361,407,1677,Feuil1
2023,HAMMAMET,17487,3702,11135,Feuil1
2024,NABEUL,3895,1974,1323,Feuil1
2024,DAR CHAABANE EL FEHRI,5601,678,915,Feuil1
2024,BENI KHIAR,8855,1299,713,Feuil1
2024,KORBA,18865,1953,25,Feuil1
2024,MENZEL TEMIME,20361,745,1135,Feuil1
2024,EL MIDA,13785,2942,1492,Feuil1
2024,KELIBIA,10663,1471,684,Feuil1
2024,HAMMAM EL GUEZAZ,5698,583,1549,Feuil1
2024,EL HAOUARIA,20359,1833,11866,Feuil1
2024,TAKILSA,13822,454,12820,Feuil1
2024,SOLIMAN,8155,2931,3095,Feuil1
2024,MENZEL BOUZELFA,11389,503,2862,Feuil1
2024,BENI KHALLED,9924,611,817,Feuil1
2024,GROMBALIA,19124,1349,8921,Feuil1
2024,BOUARGOUB,11361,407,1677,Feuil1
2024,HAMMAMET,17487,3702,11135,Feuil1
