delegation_ar,superficie_foret_ha,superficie_parcours_ameliores_ha,superficie_parcours_naturels_ha,superficie_sebkhas_ha,couverture_vegetale_ar,feuille
بوفيشة,3262,2565,910,0,عرعار،أكاسيا صنوبر، كالاتوس ،إكليل ،زعتر .....,Feuil1
النفيضة,2601,4774,6858,0,عرعار،أكاسيا صنوبر، كالاتوس ،إكليل ،زعتر،حماضة....,Feuil1
كندار,105,510,4893,0,عرعار،أكاسيا صنوبر، كالاتوس،هندي أملس و حماضة,Feuil1
سيدي بوعلي,4,1689,0,0,أكاسيا ،خروب ،بروزوبيس ،قطف ،هندي وحماضة,Feuil1
القلعة الكبرى,599,634,2500,0,كالاتوس ،صنوبر، بروزوبيس ،قطف ،هندي وحماضة,Feuil1
هرقلة,937,0,0,0,كالاتوس ،صنوبر،أكاسيا حماضة ...,Feuil1
سيدي الهاني,69,1006,734,0,كالاتوس،هندي أملس ، بروزوبيس ،أكاسيا وحماضة,Feuil1
مساكن,98,0,0,0,كالاتوس وصنوبر,Feuil1
حمام سوسة,8,0,0,0,كالاتوس وصنوبر,Feuil1
أكودة(غابات والمنبت العصري بشط مريم),82,0,0,0,صنوبر،بندق وكالاتوس,Feuil1
سيدي عبد الحميد (المنبت الغابي بسوسة),3,0,0,0,منبت,Feuil1
القلعةالكبرى+كندار+سيدي الهاني( المحمية الطبيعية بسبخة الكلبية),0,0,0,8000,الطرفة،القصب ،المص و الحماضة,Feuil1
