annee,2008_prix_dt,2009_prix_dt,2010_prix_dt,2011_prix_dt,2012_prix_dt,2013_prix_dt,2014_prix_dt,2015_prix_dt,2016_prix_dt,2017_prix_dt,2018_prix_dt,2019_prix_dt,feuille
Janvier,0.0,0.0,0.0,0.0,0.0,528.501,0.0,0.0,0.0,0,0.0,0.0,prix-dinar-tonne
Février,0.0,0.0,269.9145769707147,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,766.5,prix-dinar-tonne
Mars,0.0,220.8,262.2,0.0,387.072,0.0,0.0,0.0,357.546,0,528.0,738.26,prix-dinar-tonne
Avril,0.0,221.49,256.2000011194645,0.0,,0.0,0.0,419.794,0.0,459,543.3,0.0,prix-dinar-tonne
Mai,0.0,223.095,214.9079880130001,0.0,452.517,0.0,0.0,0.0,353.876,0,535.0,0.0,prix-dinar-tonne
Juin,0.0,241.40392376854595,275.4648595154588,0.0,0.0,0.0,0.0,0.0,408.687,0,569.0,0.0,prix-dinar-tonne
Juillet,0.0,262.01,265.31969640192665,433.8995999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,prix-dinar-tonne
Août,391.52399941924944,194.1806748940645,365.1837839293081,390.9112132352941,502.686,434.513,424.006,428.888,397.272,447,0.0,589.5,prix-dinar-tonne
Septembre,404.695887674307,206.81468978209955,0.0,379.5659983069334,494.864,0.0,0.0,380.215,380.721,439,0.0,0.0,prix-dinar-tonne
Octobre,378.0783508180609,194.145,0.0,414.0000012995568,0.0,0.0,0.0,352.26,380.712,0,0.0,0.0,prix-dinar-tonne
Novembre,448.5105613430049,227.3664,0.0,0.0,0.0,0.0,389.059,0.0,374.781,0,0.0,0.0,prix-dinar-tonne
Décembre,0.0,236.6719371264694,0.0,375.33375,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,prix-dinar-tonne
