delegation,nombre,superficie_ha,superficie_irriguee_ha,feuille
Bousalem,2,4583,1337,Office des terres domaniales
Oued Mliz,1,446,251,Office des terres domaniales
Total Gouvernorat,3,5029,1588,Office des terres domaniales
