delegation,secteur,insemination_artificielle_2017_nb,insemination_artificielle_2018_nb,feuille
الكريب,حمام بياضة الشمالية,0,0,Feuil1
الكريب,حمام بياضة الجنوبية,73,107,Feuil1
الكريب,برج المسعوي الغربية,0,0,Feuil1
الكريب,برج المسعوي الشرقية,71,102,Feuil1
الكريب,الكريب الشمالي,53,27,Feuil1
الكريب,الكريب الجنوبي,0,0,Feuil1
الكريب,الدخانية,46,48,Feuil1
سيدي بورويس,العباسي,98,0,Feuil1
سيدي بورويس,عين عاشور,0,0,Feuil1
سيدي بورويس,التريشة,0,0,Feuil1
سليانة  الشمالية,الجوى,28,22,Feuil1
سليانة  الشمالية,جامة,39,33,Feuil1
سليانة  الشمالية,مصوج,0,0,Feuil1
سليانة  الشمالية,عين الديسة,17,21,Feuil1
سليانة  الشمالية,الخلصة,0,0,Feuil1
