اسم_الشركة,نوع_النشاط,المقر_الاجتماعي,المعتمدية,منطقة_التدخل,سنة_التاسيس,عدد_المنخرطين,عدد_الاطارات_والاعوان,الوضعية_الحالية,feuille
الإزدهار,تجميع الحليب/إنتاج العلف المركب/التلقيح الإصطناعي,حزق,جبنيانة,حزق,08/09/1986,204,32,ناشطة,Feuil1
الرّحمة,تجميع الحليب/التلقيح الإصطناعي,الحاجب,طينة,طينة وصفاقس الجنوبية,24/08/1990,162,15,ناشطة,Feuil1
البساتين,تجميع الحليب وتزويد الفلاحيين بالأعلاف (سداري وشعير),السلطنية,ساقية دائر,ساقية الدائر,24/08/1990,28,1,ناشطة فقط في توزيع الأعلاف,Feuil1
البركة,تجميع الحليب,بوعكازين,المحرس,الشفار والعيثة,19/12/1968,142,4,ناشطة,Feuil1
الأعشاش,تجميع الحليب,الأعشاش,منزل شاكر,منزل شاكر,25/06/1992,249,0,متوقفة عن النشاط,Feuil1
النهوض,تجميع الحليب وتزويد الفلاحيين بالأعلاف (سداري وشعير),بليانة,العامرة,بليانة,05/06/1992,74,1,ناشطة فقط في توزيع الأعلاف,Feuil1
النجاح,تحويل الزيتون وبيع الزيت,حي المعاصر بالمحرس,المحرس,المحرس,15/08/1959,34,0,ناشطة,Feuil1
إتحاد منتجي الزيوت بالجنوب التونسي,تحويل الزيتون وبيع الزيت,مركز شاكر,صفاقس الغربية,صفاقس وقيروان وسيدي بوزيد,22/08/1941,147,1,متوقفة عن النشاط,Feuil1
كورافيس,دواجن,قاصة رقم 5,صفاقس المدينة,ولاية صفاقس,30/01/1991,118,4,ناشطة,Feuil1
الكرامة,دواجن,رأس فرطوط,بئر علي,رأس فرطوط,29/10/2011,59,2,ناشطة,Feuil1
كوساس,دواجن,صفاقس المدينة,صفاقس المدينة,ولاية صفاقس,43614,8,1,ناشطة,Feuil1
الإخلاص,صيد بحري,ميناء صفاقس,صفاقس المدينة,ولاية صفاقس,01/10/2009,41,4,ناشطة,Feuil1
الإتحاد,صيد بحري,الرملة,قرقنة,قرقنة,12/01/2015,12,1,ناشطة,Feuil1
الأمل,التزويد,الحنشة,الحنشة,الحنشة,17/11/2011,46,0,متوقفة عن النشاط,Feuil1
النصر,تجميع الحليب,قلالجة,جبنيانة,قلالجة-عجانقة-بطرية,11/03/1998,63,0,متوقفة عن النشاط,Feuil1
المكارم,تجميع الحليب,اللطايفة,بئرعلي,اللطايفة,22/10/1993,32,0,متوقفة عن النشاط,Feuil1
العزيمة,تجميع الحليب,بئر علي,بئرعلي,بئر علي,15/11/1989,48,0,متوقفة عن النشاط,Feuil1
النجاح,تجميع الحليب,الرملة,قرقنة,قرقنة,20/12/1997,22,0,متوقفة عن النشاط,Feuil1
الإمتياز,صيد بحري,سيدي مسرّة,جبنيانة,جبنيانة,03/09/2002,77,0,متوقفة عن النشاط,Feuil1
