delegation,annee,terres_agricoles,terres_non_labourables,forets_parcours,feuille
monastir,2015,764,4076,200,superficies_agricoles
monastir,2016,764,4076,200,superficies_agricoles
monastir,2017,764,4076,200,superficies_agricoles
ouardanine,2015,4633,330,0,superficies_agricoles
ouardanine,2016,4633,330,0,superficies_agricoles
ouardanine,2017,4633,330,0,superficies_agricoles
sahline,2015,3629,683,0,superficies_agricoles
sahline,2016,3629,683,0,superficies_agricoles
sahline,2017,3629,683,0,superficies_agricoles
zarmdine,2015,18607,2124,2441,superficies_agricoles
zarmdine,2016,18607,2124,2441,superficies_agricoles
zarmdine,2017,18607,2124,2441,superficies_agricoles
beni_hassen,2015,8769,990,103,superficies_agricoles
beni_hassen,2016,8769,990,103,superficies_agricoles
beni_hassen,2017,8769,990,103,superficies_agricoles
jemmel,2015,11272,740,100,superficies_agricoles
jemmel,2016,11272,740,100,superficies_agricoles
jemmel,2017,11272,740,100,superficies_agricoles
bembla,2015,4147,610,1756,superficies_agricoles
bembla,2016,4147,610,1756,superficies_agricoles
bembla,2017,4147,610,1756,superficies_agricoles
moknine,2015,17463,4470,0,superficies_agricoles
moknine,2016,17463,4470,0,superficies_agricoles
moknine,2017,17463,4470,0,superficies_agricoles
bekalta,2015,3498,775,0,superficies_agricoles
bekalta,2016,3498,775,0,superficies_agricoles
bekalta,2017,3498,775,0,superficies_agricoles
teboulba,2015,1912,257,0,superficies_agricoles
teboulba,2016,1912,257,0,superficies_agricoles
teboulba,2017,1912,257,0,superficies_agricoles
ksar_hellal,2015,2095,230,0,superficies_agricoles
ksar_hellal,2016,2095,230,0,superficies_agricoles
ksar_hellal,2017,2095,230,0,superficies_agricoles
ksibet_mediouni,2015,3592,520,0,superficies_agricoles
ksibet_mediouni,2016,3592,520,0,superficies_agricoles
ksibet_mediouni,2017,3592,520,0,superficies_agricoles
sayada_lamta_bouhjar,2015,1019,480,0,superficies_agricoles
sayada_lamta_bouhjar,2016,1019,480,0,superficies_agricoles
sayada_lamta_bouhjar,2017,1019,480,0,superficies_agricoles
