annee,delegation,bovin_tonne,ovin_tonne,caprin_tonne,camelides_tonne,feuille
2022-2023,قبلي الجنوبية,179.0,914.0,1112.0,89.0,Feuil1
2022-2023,قبلي الشمالية,15.0,612.0,708.0,125.0,Feuil1
2022-2023,سوق الأحد,292.0,977.0,1140.0,18.0,Feuil1
2022-2023,دوز الشمالية,37.0,1622.0,1990.0,268.0,Feuil1
2022-2023,دوز الجنوبية,139.0,1270.0,1565.0,375.0,Feuil1
2022-2023,الفوار,22.0,1411.0,1695.0,107.0,Feuil1
2022-2023,رجيم معتوق,0.0,338.0,416.0,179.0,Feuil1
2022-2023,جملة,684.0,7145.0,8626.0,1162.0,Feuil1
2023-2024,قبلي الجنوبية,19.0,,,,Feuil1
2023-2024,قبلي الشمالية,22.0,,,,Feuil1
2023-2024,سوق الأحد,235.0,,,,Feuil1
2023-2024,دوز الشمالية,19.0,,,,Feuil1
2023-2024,دوز الجنوبية,132.0,,,,Feuil1
2023-2024,الفوار,0.0,,,,Feuil1
2023-2024,رجيم معتوق,0.0,,,,Feuil1
2023-2024,جملة,,,,,Feuil1
