الولاية,المجمع,المعتمدية,المركزم_او_الخزانخ,feuille
باجة,المخازن الكبرى باجة GSB,باجة الشمالية,خ. باجة المدينة,Feuil1
باجة,,باجة  الشمالية,م. عمدون,Feuil1
باجة,,باجة الشمالية,م. قصر مزوار,Feuil1
باجة,,باجة الجنوبية,خ. الزلاوي,Feuil1
باجة,مجمع الحبوب للشمال COCENORD,تبرسق,م. خلاد تبرسق,Feuil1
باجة,أروماق EUROMAG,تبرسق,خ. عين مليتي,Feuil1
باجة,,تبرسق,خ. دقة,Feuil1
باجة,,باجة الجنوبية,م. لفارق,Feuil1
باجة,,باجة الشمالية,خ. باجة 1,Feuil1
باجة,,باجة الشمالية,م. الزريبة,Feuil1
باجة,الشركة التعاونية المركزية  للقمح SMCEBLE,باجة الشمالية,خ. الحوفية,Feuil1
باجة,,قبلاط,خ. قبلاط,Feuil1
باجة,,مجاز الباب,خ. قصر الشيخ,Feuil1
باجة,,باجة الشمالية,خ. كلم 8,Feuil1
باجة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,باجة الشمالية,خ. باجة المحطة,Feuil1
باجة,,مجاز الباب,خ. وادي الزرقة,Feuil1
باجة,,قبلاط,م. قبلاط,Feuil1
باجة,,تبرسق,خ. تبرسق,Feuil1
باجة,,عمدون,خ. عمدون (القرية),Feuil1
باجة,,مجاز الباب,سيدي مدين,Feuil1
باجة,شركة التطور الفلاحي بالشمال العرفاوي EVAGRI,تستور,م. تستور,Feuil1
باجة,,مجاز الباب,م. مجاز الباب,Feuil1
باجة,شركة مركز فاقا لتجميع الحبوب,باجة الشمالية,م. بوحزام,Feuil1
باجة,شركة الهيشري لتجميع الحبوب,باجة الشمالية,م. النقاشية,Feuil1
باجة,,باجة الجنوبية,م. المنشار,Feuil1
باجة,الشركة الفلاحية لتربية الماشية SEPRA,قبلاط,خ. بوثعلب,Feuil1
باجة,مجمع الطرابلسي للحبوب GTC *,تستور,خ. الطرابلسي السلوقية,Feuil1
باجة,مجمع الخدمات الفلاحية المتعددة GMA,تبرسق,م. عين مليتي,Feuil1
باجة,محمد الهادي عوادي,نفزة,م. نفزة,Feuil1
جندوبة,مصرف الخدمات الفلاحية المتعددة  CMA,بوسالم,م. منقوش oc,Feuil1
جندوبة,,بوسالم,م. بوسالم,Feuil1
جندوبة,,فرنانة,م. فرنانة,Feuil1
جندوبة,,وادي مليز,وادي مليز القارشي,Feuil1
جندوبة,,جندوبة,المرداسي,Feuil1
جندوبة,الشركة التونسية للأنشطة الفلاحية CTA,جندوبة الشمالية,م. بلاريجيا,Feuil1
جندوبة,مجمع الخدمات الفلاحية المتعددة GMA,جندوبة,م. بن بشير,Feuil1
جندوبة,شركة إيهاب لتجميع الحبوب,جندوبة,خ. بن بشير,Feuil1
جندوبة,,وادي مليز,خ. السلامي,Feuil1
جندوبة,الشركة التعاونية المركزية  للقمح SMCEBLE,جندوبة الجنوبية,خ. جندوبة كلم 3,Feuil1
جندوبة,,بوسالم,خ. بوسالم,Feuil1
جندوبة,,بوسالم,خ. العزيمة,Feuil1
جندوبة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,جندوبة,خ. جندوبة,Feuil1
الكاف,مصرف الخدمات الفلاحية المتعددة  CMA,الكاف الشرقية,م. الزعفران ( STEC ),Feuil1
الكاف,,الطويرف,م. الطويرف oc,Feuil1
الكاف,,الدهماني,خ. الزوارين,Feuil1
الكاف,,تاجروين,م. تاجروين oc,Feuil1
الكاف,مجمع الحبوب للشمال COCENORD,نبر,م. نبر oc,Feuil1
الكاف,,السرس,خ. السرس ( الرزقي ),Feuil1
الكاف,الشركة التعاونية المركزية  للقمح SMCEBLE,الكاف,خ. الكاف محطة,Feuil1
الكاف,,السرس,خ. السرس,Feuil1
الكاف,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,بهر,خ. برج العيفة,Feuil1
الكاف,,نبر,م. تل الغزلان,Feuil1
سليانة,مصرف الخدمات الفلاحية المتعددة  CMA,الكريب,خ. برج المسعودي,Feuil1
سليانة,,قعفور,خ. الأخوات ( STEC ),Feuil1
