annee,delegation,bovin,ovin_caprin,chamaux,abeilles,volaille_ouefs,volaille_viande,lapin,feuille
2022,Tataouine nord,66.0,224822,7420,100,30000,6600,0,Feuil1
2022,Tataouine sud,,109338,1517,0,0,0,0,Feuil1
2022,Smar,267.0,56249,691,0,11000,0,0,Feuil1
2022,Beni mhira,0.0,110495,4735,0,0,0,0,Feuil1
2022,Remada,0.0,66763,640,0,0,0,0,Feuil1
2022,Dehiba,10.0,26560,1932,0,0,0,0,Feuil1
2022,Bir lahmer,0.0,23508,12,120,0,7700,0,Feuil1
2022,Ghomarassen,5.0,38215,232,0,10750,10000,0,Feuil1
2022,Totale,348.0,655950,17179,220,51750,24300,0,Feuil1
