المعتمدية,عدد_الابقار_موصلة,عدد_الابقار_اخرى,العدد_الجملي_للابقار,عدد_القطيع_انثى_منتجة_اغنامالف,ماعزالف,عدد_القطيع_انثى_منتجة_ابل,اجباح_نحل_عصري,اجباح_نحل_تقليدي,ارانب_عدد_الامهات_عصري,ارانب_عدد_الامهات_تقليدي,عدد_المداجن_لحم,عدد_المداجن_بيض,عدد_المداجن_مفارخ,feuille
بوزيد الغربية,5700,15,5715,28.0,2.0,12,830,0,215,125,7,1,0,Feuil1
بوزيد الشرقية,5460,25,5485,25.0,7.0,22,610,13,0,120,93,6,3,Feuil1
المكناسي,135,5,140,23.5,4.7,30,910,0,0,20,1,0,0,Feuil1
الرقاب,2843,30,2873,37.0,3.2,80,600,13,285,50,82,32,0,Feuil1
السعيدة,1600,0,1600,16.5,2.0,0,190,0,350,20,224,9,2,Feuil1
جلمة,1550,20,1570,50.0,7.0,7,350,17,50,370,19,0,0,Feuil1
بن عون,3000,55,3055,15.5,2.7,5,320,10,700,50,9,1,0,Feuil1
المزونة,7,7,14,35.5,7.0,80,350,0,0,1200,2,0,0,Feuil1
السبالة,15,5,20,14.0,1.7,0,230,15,100,450,3,2,0,Feuil1
أولاد حفوز,10,8,18,34.0,5.0,7,240,0,120,700,120,3,1,Feuil1
بئر الحفي,2200,30,2230,15.0,2.6,15,310,10,0,30,20,0,1,Feuil1
منزل بوزيان,30,5,35,19.0,1.8,12,480,0,0,20,2,0,0,Feuil1
السوق الجديد,2450,45,2495,35.0,6.5,10,300,0,180,400,2,0,0,Feuil1
الجملة,25000,250,25250,348.0,53.0,280,5720,78,2000,3555,548,54,7,Feuil1
