grade,effectif,feuille
مهندس رئيس,11,Feuil1
مهندس أول,25,Feuil1
مهندس أشغال,1,Feuil1
مستشار مصالح عمومية,2,Feuil1
متصرف مستشار,1,Feuil1
متصرف,12,Feuil1
ملحق إدارة,10,Feuil1
كاتب تصرف,10,Feuil1
كاتب راقن,2,Feuil1
مستكتب إدارة,33,Feuil1
راقن مساعد,3,Feuil1
عون استقبال,1,Feuil1
طبيب بيطري صحي أول,1,Feuil1
طبيب بيطري صحي,7,Feuil1
طبيب بيطري,1,Feuil1
تقني رئيس,19,Feuil1
تقني أول,20,Feuil1
تقني,64,Feuil1
مساعد تقني,11,Feuil1
مكون في الفلاحة و الصيد البحري,1,Feuil1
رئيس أشغال مخبر,3,Feuil1
متصرف في الوثائق و الأرشيف,1,Feuil1
متصرف مساعد في الوثائق و الأرشيف,1,Feuil1
محلل رئيس,0,Feuil1
واضع برامج,1,Feuil1
تقني مخبر إعلامية,4,Feuil1
عملة الوحدة الأولى,500,Feuil1
عملة الوحدة الثانية,328,Feuil1
عملة الوحدة الثالثة,2,Feuil1
