annee,delegation,nombre,superficie_ha,superficie_irriguee_ha,feuille
2022,Jendouba,42,234.9,12.5,Feuil1
2022,Jendouba Nord,89,682.9,9.0,Feuil1
2022,bousalem,13,41.42,41.5,Feuil1
2022,Tabarka,52,232.1,38.84,Feuil1
2022,Baltabouauen,9,76.33,16.9,Feuil1
2022,Ghardimaou,46,407.63,5.25,Feuil1
2022,Oued Mliz,4,31.38,,Feuil1
2022,Total Gouvernorat,255,1706.66,124.0,Feuil1
2023,Jendouba,42,234.9,125.5,Feuil1
2023,Jendouba Nord,89,682.9,9.0,Feuil1
2023,bousalem,13,41.42,41.5,Feuil1
2023,Tabarka,52,232.1,38.84,Feuil1
2023,Baltabouauen,9,76.33,16.9,Feuil1
2023,Ghardimaou,46,407.63,5.25,Feuil1
2023,Oued Mliz,4,31.38,,Feuil1
2023,Total Gouvernorat,255,1707.0,237.0,Feuil1
2024,Jendouba,42,234.9,125.5,Feuil1
2024,Jendouba Nord,89,682.9,9.0,Feuil1
2024,bousalem,13,41.42,41.5,Feuil1
2024,Tabarka,52,232.1,38.84,Feuil1
2024,Baltabouauen,9,76.33,16.9,Feuil1
2024,Ghardimaou,46,407.63,5.25,Feuil1
2024,Oued Mliz,4,31.38,,Feuil1
2024,Total Gouvernorat,255,1707.0,237.0,Feuil1
