طاقة_الاستيعاب,العنوان,اسم_المركز_او_الباعث,الصنف,الولاية,feuille
400,عسيلة – بلطة بوعوان,شركة التنمية والإستغلال السياحي بالشمال SEDAN,1,جندوبة,Feuil1
200,بئر الأخضر - بوسالم,شركة زامــا,1,جندوبة,Feuil1
100,بهاية - ماطر,ضيعة فريطيسة – ديوان تربية الماشية,1,بنزرت,Feuil1
100,سيدي أحمد – بنزرت الجنوبية,"شركة ضيعات الشمال ""عميلة""",1,بنزرت,Feuil1
200,البسباسية,محمد الصادق بن شيبوب,1,بنزرت,Feuil1
60,غزالة - العرب,عبد الحفيظ الهميسي,1,بنزرت,Feuil1
150,ماطر - نفات,شركة الإحياء نفات ماطر,1,بنزرت,Feuil1
200,ماطر – سيدي مبارك,شركة التنمية الفلاحية الشرقي,1,بنزرت,Feuil1
30,ماطر – نفات,مركز وادي الشعير للأراخي المؤصلة   --  أمينة النجار البكوري,1,بنزرت,Feuil1
60,برج العامري,مركز تربية الأراخي المؤصلة ببرج العامري ديوان الأراضي الدولية,1,منوبة,Feuil1
25,بوحزام – باجة الشمالية,الوحدة الإنتاجية المنتصر,1,باجة,Feuil1
25,الطرهوني - عمدون,الوحدة الإنتاجية السخونة,1,باجة,Feuil1
10,تيبار,المعهد القطاعي للتكوين المهني الفلاحي بتيبار,1,باجة,Feuil1
250,سلوقية - تستور,شركة الأحياء والتنمية الفلاحية الروضة,1,باجة,Feuil1
35,اللوايتية- الجديدي- مجاز الباب,مركز عمر الباهي,1,باجة,Feuil1
400,القابل – سليانة الجنوبية,شركة الأحياء والتنمية الفلاحية لخماسSODAL,1,سليانة,Feuil1
250,الدخانية - الكريب,المركب الفلاحي محسن لمام,1,سليانة,Feuil1
200,عين رباو - الطويلة- سيدي بوزيد الغربية,المركب الفلاحي الطويلة – ضيعة 18,1,سيدي بوزيد,Feuil1
225,الفائض- سيدي بوزيد الشرقية,المركب الفلاحي الطويلة –  ضيعة 13,1,سيدي بوزيد,Feuil1
400,جلمة كلم 5 طريق تونس,شركة سليمة للإنتاج الفلاحي,2,سيدي بوزيد,Feuil1
800,العلم - السبيخة,المركب الفلاحي والصناعي العلم,1,القيروان,Feuil1
30,العوامرية معتمدية الشبيكة,شركة الخدمات الفلاحية البركة,2,القيروان,Feuil1
200,وادي العبيد - تاكلسة,المركب الفلاحي والصناعي تاكلسة وادي العبيد,1,نابل,Feuil1
150,غنوش الغربية - غنوش,طارق علية,1,قابس,Feuil1
150,القباعية- ليماوة – قابس الجنوبية,المبروك المبروك,1,قابس,Feuil1
100,الرحيبة الجنوبية – قفصة الشمالية,ألفة خدومة,2,قفصة,Feuil1
50,الرحيبة الجنوبية – قفصة الشمالية,محمد بن علي الزعبوطي,2,قفصة,Feuil1
100,السواسي - الشريشيرة,عبد النور مصباح,2,المهدية,Feuil1
100,الزعفرانة – الكاف الشرقية,شركة الإحياء والتنمية الفلاحية السنابل,1,الكاف,Feuil1
40,الكاف السمانة,أم الزين محمد الطاهر مليح,1,الكاف,Feuil1
50,بوشة -  بئر مشارقة,"شركة الإحياء والتنمية الفلاحية ""الشباب""",1,زغوان,Feuil1
80,قلعة  الأندلس,محمد بلحاج,2,أريانة,Feuil1
250,موريج 2 (بوعكازين)- الشفار- المحرس,"""شركة الفلاحة المتوسطية بتونس"" « SAGRIMET »",2,صفاقس,Feuil1
