gouvernorat,insemination_artificielle_realisee_en_2020_tete,feuille
Beja,540,Feuil1
Jendouba,480,Feuil1
Bizerte,540,Feuil1
Kef,540,Feuil1
Siliana,360,Feuil1
Total,2460,Feuil1
