societe,nature_du_produit,quantite_kilos
أزابسكا,قشريات مجمدة,22464.0
بن حميدة,قشريات مثلجة,423.5
بن حميدة,رخويات مثلجة,327.2
بن حميدة,أسماك مثلجة,487.3
ماديترنيان باسكا,نصف مصبرات سمك أزرق,15920.0
فيشر,قشريات مثلجة,52.0
فيشر,رخويات مثلجة,219.0
فيشر,أسماك مثلجة,249.5
فيشر,تربية مائية,480.0
ديدون ماري,أسماك مثلجة,55.0
أرابكس,رخويات حية ذات الصدفتين,95.0
