annee,societe,specialite,delegation,annee_creation,capacite_thon_en_tonnes_par_jour,production_thon_en_tonnes,capacite_sardine_en_tonnes_par_jour,production_sardine_en_tonnes,feuille
2022,تن المنار,تعليب تن و سردينة,جرجيس,2005,40,5000,8,1500,Feuil1
2022,بن كالية,تعليب تن و سردينة,جرجيس,1979,10,1500,3,700,Feuil1
2022,كاب قرطاج,تعليب تن و سردينة,بنقردان,2010,10,1500,3,700,Feuil1
2022,كوتسار,تعليب تن و سردينة,جرجيس,2012,10,1500,3,700,Feuil1
2022,سوبام سيد,تعليب تن و سردينة,بنقردان,2010,10,1500,3,700,Feuil1
2022,إيكوفيش,تعليب تن,بنقردان,2010,5,1500,_,_,Feuil1
2022,Tucrab,تجميد غلال البحر,جرجيس,2017,_,_,_,_,Feuil1
2022,Coprod,تجميد غلال البحر,جرجيس,1990,_,_,_,_,Feuil1
2022,Elbahar,تجميد غلال البحر,جرجيس,2018,_,_,_,_,Feuil1
2022,Tresor de mer,تجميد غلال البحر,جرجيس,2016,_,_,_,_,Feuil1
