annee,delegation,terre_agricole_ha,terre_labourable_ha,parcours_ha,superficie_foret_et_halfa_ha,superficie_halfa_ha,superficie_forets_ha,feuille
2022,القصرين الشمالية,8037,5300,2500,100,,,Feuil2
2022,القصرين الجنوبية,79440,41500,9500,25494,,,Feuil2
2022,سبيطلة,106651,49500,7300,46138,,,Feuil2
2022,سبيبة,40717,18800,11000,10135,,,Feuil2
2022,جدليان,22725,5500,7000,10544,,,Feuil2
2022,العيون,35142,16700,6100,12244,,,Feuil2
2022,تالة,79228,55000,11500,12933,,,Feuil2
2022,حيدرة,45450,19200,7000,19067,,,Feuil2
2022,فوسانة,83905,48600,7100,28407,,,Feuil2
2022,فريانة,84000,30900,700,48034,,,Feuil2
2022,ماجل بلعباس,93660,50000,3900,33190,,,Feuil2
2022,حاسي الفريد,98045,19000,6400,57760,,,Feuil2
2022,الزهور,0,0,0,0,,,Feuil2
2023,القصرين الشمالية,7900,5300,2500,100,,,Feuil2
2023,القصرين الجنوبية,76494,41500,9500,25494,,,Feuil2
2023,سبيطلة,102938,49500,7300,46138,,,Feuil2
2023,سبيبة,39935,18800,11000,10135,,,Feuil2
2023,جدليان,23044,5500,7000,10544,,,Feuil2
2023,العيون,34933,16700,6100,12244,,,Feuil2
2023,تالة,79544,55000,11500,12933,,,Feuil2
2023,حيدرة,45267,19200,7000,19067,,,Feuil2
2023,فوسانة,84107,48600,7100,28407,,,Feuil2
2023,فريانة,79634,30900,700,48034,,,Feuil2
2023,ماجل بلعباس,87090,50000,3900,33190,,,Feuil2
2023,حاسي الفريد,83160,19000,6400,57760,,,Feuil2
2023,الزهور,0,0,0,0,,,Feuil2
2024,القصرين. ش,7900,5300,2500,100,,100.0,Feuil2
2024,القصرين.ج,76494,46582,9500,20412,12328.0,8084.0,Feuil2
2024,الزهور,0,0,0,0,0.0,0.0,Feuil2
2024,ح.الفريد,83160,33011,6400,43749,37124.0,6625.0,Feuil2
2024,سبيطلة,102938,55538,7300,40100,11794.0,28306.0,Feuil2
2024,سبيبة,39935,18800,11000,10135,135.0,10000.0,Feuil2
2024,جدليان,23044,5500,7000,10544,,10544.0,Feuil2
2024,العيون,34933,16769,6100,13056,123.0,11941.0,Feuil2
2024,تالة,79544,55100,11500,11952,303.0,12641.0,Feuil2
2024,حيدرة,45267,19200,7000,19067,,19067.0,Feuil2
2024,فوسانة,84107,48600,7100,28407,407.0,28000.0,Feuil2
2024,فريانة,79634,39920,700,39014,15898.0,23116.0,Feuil2
2024,م.بلعباس,87090,62946,3900,20244,20069.0,175.0,Feuil2
2024,المجموع,744046,407266,80000,256780,98181.0,158599.0,Feuil2
