annee,delegation,terres_agricoles_h,terres_non_labourables_h,forets_et_parcours_h,feuille
2023,Ben Arous,,640,50.0,Feuil1
2023,Médina Jedida,50.0,810,,Feuil1
2023,Mourouj,,1180,45.0,Feuil1
2023,Hammam-Lif,,230,1900.0,Feuil1
2023,Hammam-Chott,400.0,700,1000.0,Feuil1
2023,Bou Mhel,1000.0,500,790.0,Feuil1
2023,Ezzahra,,530,,Feuil1
2023,Rades,,1620,200.0,Feuil1
2023,Megrine,,950,,Feuil1
2023,M'hamdia,10500.0,1020,300.0,Feuil1
2023,Fouchana,4150.0,1590,15.0,Feuil1
2023,Mornag,19900.0,1230,15700.0,Feuil1
2023,TOTAL,36000.0,11000,20000.0,Feuil1
2024,Ben Arous,,640,50.0,Feuil1
2024,Médina Jedida,50.0,810,,Feuil1
2024,Mourouj,,1180,45.0,Feuil1
2024,Hammam-Lif,,230,1900.0,Feuil1
2024,Hammam-Chott,400.0,700,1000.0,Feuil1
2024,Bou Mhel,1000.0,500,790.0,Feuil1
2024,Ezzahra,,530,,Feuil1
2024,Rades,,1620,200.0,Feuil1
2024,Megrine,,950,,Feuil1
2024,M'hamdia,10500.0,1020,300.0,Feuil1
2024,Fouchana,4150.0,1590,15.0,Feuil1
2024,Mornag,19900.0,1230,15700.0,Feuil1
2024,TOTAL,36000.0,11000,20000.0,Feuil1
2025,Ben Arous,,640,50.0,Feuil1
2025,Médina Jedida,50.0,810,,Feuil1
2025,Mourouj,,1180,45.0,Feuil1
2025,Hammam-Lif,,230,1900.0,Feuil1
2025,Hammam-Chott,400.0,700,1000.0,Feuil1
2025,Bou Mhel,1000.0,500,790.0,Feuil1
2025,Ezzahra,,530,,Feuil1
2025,Rades,,1620,200.0,Feuil1
2025,Megrine,,950,,Feuil1
2025,M'hamdia,10500.0,1020,300.0,Feuil1
2025,Fouchana,4150.0,1590,15.0,Feuil1
2025,Mornag,19900.0,1230,15700.0,Feuil1
2025,TOTAL,36000.0,11000,20000.0,Feuil1
