annee,delegation,delegation_ar,bovins,ovins,caprins,camelins,ruches,poules_pondeuses,poulets_de_chair,unites_cunicoles,nombre_de_lapines,feuille
2021,Tozeur,توزر,302.0,21909,6406,459,790.0,,,,905,Feuil1
2021,Dgueche,دقاش,82.0,36765,16125,150,140.0,,14400,,700,Feuil1
2021,Tamaghza,تمغزة,,40721,17852,800,200.0,,,,151,Feuil1
2021,Nefta,نفطة,237.0,18873,8921,1760,30.0,,9000,,675,Feuil1
2021,Hazoua,حزوة,,9730,6007,1370,,,,,200,Feuil1
2021,Hammet El Djérid,حامة الجريد,,16709,6140,25,,,,,180,Feuil1
2021,Total,المجموع,621.0,144707,61451,4564,1160.0,0,23400,0,2811,Feuil1
2022,Tozeur,توزر,353.0,26000,7000,495,650.0,,,,600,Feuil1
2022,Dgueche,دقاش,249.0,40000,18000,150,300.0,,16000,,350,Feuil1
2022,Tamaghza,تمغزة,,30000,14000,800,350.0,,,,150,Feuil1
2022,Nefta,نفطة,253.0,18000,9000,1760,,13800,11000,,300,Feuil1
2022,Hazoua,حزوة,,12000,7000,1370,,,,,100,Feuil1
2022,Hammet El Djérid,حامة الجريد,12.0,20000,8000,25,,,,,100,Feuil1
2022,Total,المجموع,867.0,146000,63000,4600,1300.0,13800,27000,,1500,Feuil1
2023,Tozeur,توزر,387.0,25500,8000,495,600.0,_,_,_,700,Feuil1
2023,Dgueche,دقاش,279.0,39300,19700,150,200.0,_,16000,_,500,Feuil1
2023,Tamaghza,تمغزة,,30000,15000,800,300.0,_,_,_,100,Feuil1
2023,Nefta,نفطة,273.0,18000,9000,1760,,13800,11000,_,500,Feuil1
2023,Hazoua,حزوة,,12000,7000,1370,,_,_,_,100,Feuil1
2023,Hammet El Djérid,حامة الجريد,32.0,20000,8000,25,,_,_,_,100,Feuil1
2023,Total,المجموع,971.0,144800,66700,4600,1100.0,13800,27000,_,2000,Feuil1
2024,Tozeur,توزر,487.0,24000,16000,495,1100.0,0,0,0,700,Feuil1
2024,Degache,دقاش,279.0,37000,15000,150,100.0,0,16000,0,500,Feuil1
2024,Tamaghza,تمغزة,4.0,24000,17000,800,100.0,0,0,0,100,Feuil1
2024,Nefta,نفطة,290.0,18000,11000,1760,0.0,13800,11000,0,500,Feuil1
2024,Hezoua,حزوة,0.0,8000,5000,1370,0.0,0,0,0,100,Feuil1
2024,Hammet eljerid,حامة الجريد,32.0,14000,8000,25,0.0,0,0,0,100,Feuil1
2024,Total,المجموع,1092.0,125000,72000,4600,1300.0,13800,27000,0,2000,Feuil1
