delegation_fr,delegation_ar,annee,nombre_femelle_productive,feuille
Sousse Medina,سوسة المدينة,2016,0,bovins
Sousse Riadh,سوسة الرياض,2016,40,bovins
Sousse Jawhara,سوسة الجوهرة,2016,30,bovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2016,30,bovins
Hammam Sousse,حمام سوسة,2016,200,bovins
Akouda,أكودة,2016,200,bovins
Kalaa Kbira,القلعة الكبرى,2016,1950,bovins
Sid Bou Ali,سيدي بو علي,2016,500,bovins
Hergla,هرقلة,2016,100,bovins
Enfidha,النفيضة,2016,900,bovins
Bouficha,بوفيشة,2016,600,bovins
Kondar,الكندار,2016,450,bovins
Sid El Héni,سيدي الهاني,2016,450,bovins
M'Saken,مساكن,2016,850,bovins
Kalaa Sghira,القلعة الصغرى,2016,500,bovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2016,500,bovins
Sousse Medina,سوسة المدينة,2017,0,bovins
Sousse Riadh,سوسة الرياض,2017,75,bovins
Sousse Jawhara,سوسة الجوهرة,2017,30,bovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2017,35,bovins
Hammam Sousse,حمام سوسة,2017,150,bovins
Akouda,أكودة,2017,200,bovins
Kalaa Kbira,القلعة الكبرى,2017,2200,bovins
Sid Bou Ali,سيدي بو علي,2017,500,bovins
Hergla,هرقلة,2017,85,bovins
Enfidha,النفيضة,2017,900,bovins
Bouficha,بوفيشة,2017,475,bovins
Kondar,الكندار,2017,400,bovins
Sid El Héni,سيدي الهاني,2017,300,bovins
M'Saken,مساكن,2017,900,bovins
Kalaa Sghira,القلعة الصغرى,2017,500,bovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2017,500,bovins
Sousse Medina,سوسة المدينة,2018,0,bovins
Sousse Riadh,سوسة الرياض,2018,60,bovins
Sousse Jawhara,سوسة الجوهرة,2018,30,bovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2018,35,bovins
Hammam Sousse,حمام سوسة,2018,125,bovins
Akouda,أكودة,2018,200,bovins
Kalaa Kbira,القلعة الكبرى,2018,2200,bovins
Sid Bou Ali,سيدي بو علي,2018,500,bovins
Hergla,هرقلة,2018,125,bovins
Enfidha,النفيضة,2018,750,bovins
Bouficha,بوفيشة,2018,475,bovins
Kondar,الكندار,2018,400,bovins
Sid El Héni,سيدي الهاني,2018,300,bovins
M'Saken,مساكن,2018,600,bovins
Kalaa Sghira,القلعة الصغرى,2018,500,bovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2018,450,bovins
Sousse Medina,سوسة المدينة,2019,0,bovins
Sousse Riadh,سوسة الرياض,2019,60,bovins
Sousse Jawhara,سوسة الجوهرة,2019,30,bovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2019,35,bovins
Hammam Sousse,حمام سوسة,2019,125,bovins
Akouda,أكودة,2019,200,bovins
Kalaa Kbira,القلعة الكبرى,2019,2250,bovins
Sid Bou Ali,سيدي بو علي,2019,400,bovins
Hergla,هرقلة,2019,100,bovins
Enfidha,النفيضة,2019,750,bovins
Bouficha,بوفيشة,2019,500,bovins
Kondar,الكندار,2019,400,bovins
Sid El Héni,سيدي الهاني,2019,400,bovins
M'Saken,مساكن,2019,750,bovins
Kalaa Sghira,القلعة الصغرى,2019,450,bovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2019,400,bovins
Sousse Medina,سوسة المدينة,2020,0,bovins
Sousse Riadh,سوسة الرياض,2020,55,bovins
Sousse Jawhara,سوسة الجوهرة,2020,0,bovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2020,30,bovins
Hammam Sousse,حمام سوسة,2020,105,bovins
Akouda,أكودة,2020,160,bovins
Kalaa Kbira,القلعة الكبرى,2020,2400,bovins
Sid Bou Ali,سيدي بو علي,2020,435,bovins
Hergla,هرقلة,2020,80,bovins
Enfidha,النفيضة,2020,750,bovins
Bouficha,بوفيشة,2020,500,bovins
Kondar,الكندار,2020,400,bovins
Sid El Héni,سيدي الهاني,2020,430,bovins
M'Saken,مساكن,2020,1000,bovins
Kalaa Sghira,القلعة الصغرى,2020,430,bovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2020,375,bovins
