delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,nb_des_citernes_individuelles_creees,nb_des_sources_deaux_amenagees,feuille
عين دراهم,الخمايرية,0.0,0,11.9,398,5,1,Feuil1
عين دراهم,سلول,2.0,80,8.15,310,2,0,Feuil1
عين دراهم,تاقمة,0.0,0,14.3,370,8,0,Feuil1
عين دراهم,الحمران,6.9,70,7.3,305,3,0,Feuil1
عين دراهم,عين سلام,0.0,0,2.2,185,2,0,Feuil1
عين دراهم,وادي الزان,0.0,0,0.0,0,0,0,Feuil1
عين دراهم,الرويعي,0.0,0,9.2,30,0,0,Feuil1
فرنانة,وادي غريب,0.0,0,1.4,70,2,0,Feuil1
فرنانة,ربيعة,0.0,0,8.4,620,0,0,Feuil1
فرنانة,أولاد مفدة,0.0,0,0.0,0,2,0,Feuil1
فرنانة,قلوب الثيران الجنوبية,0.0,0,2.9,130,3,0,Feuil1
فرنانة,قلوب الثيران الشمالية,0.0,0,2.0,120,2,0,Feuil1
فرنانة,هذيل,9.2,150,0.6,70,4,0,Feuil1
فرنانة,العاذر,3.7,140,0.0,0,2,2,Feuil1
فرنانة,الجواودة,0.0,0,1.5,70,3,0,Feuil1
فرنانة,حليمة,0.0,0,27.0,340,5,1,Feuil1
فرنانة,سيدي عمار,0.0,0,24.8,770,0,1,Feuil1
غار الدماء,المعدن,0.0,0,4.0,290,1,2,Feuil1
غار الدماء,عين سلطان,0.0,0,2.45,70,0,0,Feuil1
غار الدماء,وشتاتة,0.0,0,12.3,600,10,0,Feuil1
غار الدماء,الصرية,0.0,0,15.3,610,5,0,Feuil1
غار الدماء,فركصان,0.0,0,2.0,200,5,0,Feuil1
غار الدماء,فج حسين,3.8,80,0.0,0,15,0,Feuil1
طبرقة,الحمام,0.0,0,10.5,380,14,0,Feuil1
طبرقة,الناظور,0.0,0,16.9,605,9,1,Feuil1
طبرقة,عين السنوسي,0.0,0,17.98,480,6,1,Feuil1
