col_inconnue,investissement_declare,nbr_declaration,nbr_emploi_prevu,mois,gouvernorat,feuille
1,3260371,28,26.0,1,قبلي,SQL Results
2,6293565,53,79.0,5,سيدي بوزيد,SQL Results
3,6188664,65,29.0,2,القصرين,SQL Results
4,11157366,43,51.0,1,صفاقس,SQL Results
5,4845000,31,13.0,1,المهدية,SQL Results
6,3501289,33,52.0,1,قفصة,SQL Results
7,1466914,18,13.0,7,قبلي,SQL Results
8,3742276,29,42.0,2,قفصة,SQL Results
9,675400,10,9.0,5,تطاوين,SQL Results
10,2616562,25,12.0,5,الكاف,SQL Results
11,34458878,24,41.0,6,زغوان,SQL Results
12,4865726,35,25.0,6,قابس,SQL Results
13,9811377,43,72.0,7,صفاقس,SQL Results
14,7663573,38,29.0,1,قابس,SQL Results
15,6957420,36,152.0,9,نابل,SQL Results
16,4847878,36,50.0,10,قفصة,SQL Results
17,3274011,22,74.0,8,نابل,SQL Results
18,903521,10,9.0,9,قبلي,SQL Results
19,5049329,41,63.0,10,صفاقس,SQL Results
20,6358879,17,145.0,10,منــوبة,SQL Results
21,3045308,28,19.0,10,سليانة,SQL Results
22,4122738,10,11.0,11,أريانة,SQL Results
23,28211543,51,418.0,12,نابل,SQL Results
24,5741118,34,34.0,12,سليانة,SQL Results
25,6715269,44,537.0,10,قابس,SQL Results
26,3937174,35,26.0,11,الكاف,SQL Results
27,2508400,18,32.0,12,المنستير,SQL Results
28,10965887,33,120.0,10,بنزرت,SQL Results
29,1522956,10,21.0,12,سوسة,SQL Results
30,5674553,31,42.0,9,قابس,SQL Results
31,6515722,58,23.0,11,القصرين,SQL Results
32,10306136,40,77.0,8,صفاقس,SQL Results
33,2334523,9,13.0,6,توزر,SQL Results
34,1722200,7,16.0,8,المنستير,SQL Results
35,3953309,23,171.0,8,بنزرت,SQL Results
36,463016,4,3.0,3,تطاوين,SQL Results
37,6065547,3,3.0,6,تــونس,SQL Results
38,983085,7,13.0,9,تــونس,SQL Results
39,2572600,14,46.0,9,بن عروس,SQL Results
40,90637,1,,3,أريانة,SQL Results
41,13151958,44,201.0,6,نابل,SQL Results
42,8681055,72,71.0,6,سيدي بوزيد,SQL Results
43,5210990,55,81.0,6,قفصة,SQL Results
44,4637153,47,61.0,6,القيروان,SQL Results
45,13567461,40,167.0,1,نابل,SQL Results
46,10612461,46,79.0,2,صفاقس,SQL Results
47,2011548,19,12.0,3,قابس,SQL Results
48,5245820,51,21.0,1,القصرين,SQL Results
49,2705292,34,24.0,1,سليانة,SQL Results
50,7722373,11,14.0,6,منــوبة,SQL Results
51,468861,8,8.0,1,تــونس,SQL Results
52,807369,15,5.0,2,توزر,SQL Results
53,1107687,16,7.0,3,توزر,SQL Results
54,6828551,32,47.0,1,مدنين,SQL Results
55,12193845,13,36.0,5,المنستير,SQL Results
56,697680,9,5.0,1,منــوبة,SQL Results
57,1348101,8,5.0,12,توزر,SQL Results
58,3641378,37,13.0,8,القصرين,SQL Results
59,5423442,41,52.0,10,مدنين,SQL Results
60,4250314,37,30.0,9,صفاقس,SQL Results
61,3183947,29,511.0,7,قابس,SQL Results
62,2618005,14,16.0,11,سوسة,SQL Results
63,7978292,29,52.0,11,زغوان,SQL Results
64,3276997,28,25.0,7,سليانة,SQL Results
65,3265800,18,17.0,9,المنستير,SQL Results
66,2509440,31,20.0,9,سليانة,SQL Results
67,322550,3,20.0,5,أريانة,SQL Results
68,9952000,10,21.0,3,المهدية,SQL Results
69,6295842,9,15.0,5,سوسة,SQL Results
70,1490208,14,41.0,7,منــوبة,SQL Results
71,468500,4,11.0,12,أريانة,SQL Results
72,825850,1,4.0,4,منــوبة,SQL Results
73,445555,4,8.0,8,تــونس,SQL Results
74,26598000,16,42.0,5,المهدية,SQL Results
75,2684962,19,69.0,3,باجة,SQL Results
76,996071,10,27.0,2,تــونس,SQL Results
77,1903299,20,11.0,6,قبلي,SQL Results
78,1075375,19,12.0,1,توزر,SQL Results
79,1264141,7,11.0,6,أريانة,SQL Results
80,5188262,27,112.0,6,بنزرت,SQL Results
81,966167,17,,2,جندوبة,SQL Results
82,968132,9,1.0,1,زغوان,SQL Results
83,633713,7,,3,جندوبة,SQL Results
84,8886477,70,57.0,7,سيدي بوزيد,SQL Results
85,1474913,15,13.0,5,بنزرت,SQL Results
86,13042655,7,435.0,5,توزر,SQL Results
87,5183417,34,473.0,8,قابس,SQL Results
88,5454400,25,25.0,9,المهدية,SQL Results
89,8206676,57,195.0,12,صفاقس,SQL Results
90,5432958,46,42.0,9,باجة,SQL Results
91,3410927,23,14.0,11,باجة,SQL Results
92,7786425,28,72.0,12,زغوان,SQL Results
93,1522574,21,,10,جندوبة,SQL Results
94,5392774,58,79.0,11,قفصة,SQL Results
95,5317175,36,69.0,9,القيروان,SQL Results
96,6412000,12,26.0,12,بن عروس,SQL Results
97,1213918,10,10.0,7,سوسة,SQL Results
98,15102108,61,138.0,11,صفاقس,SQL Results
99,707000,6,9.0,7,تطاوين,SQL Results
100,3131136,38,45.0,11,مدنين,SQL Results
101,532488,5,6.0,10,أريانة,SQL Results
102,4442600,11,19.0,10,بن عروس,SQL Results
103,909814,12,14.0,11,توزر,SQL Results
104,8295607,32,105.0,10,باجة,SQL Results
105,1977507,7,113.0,6,سوسة,SQL Results
106,18000,1,,3,سوسة,SQL Results
107,1393125,7,18.0,12,تــونس,SQL Results
108,340005,7,7.0,1,سوسة,SQL Results
109,479650,6,8.0,10,سوسة,SQL Results
110,2032000,3,8.0,7,المنستير,SQL Results
111,3196024,11,9.0,3,زغوان,SQL Results
112,5349570,27,,6,جندوبة,SQL Results
113,555257,7,13.0,5,منــوبة,SQL Results
114,5772512,23,28.0,2,نابل,SQL Results
115,982521,11,11.0,1,أريانة,SQL Results
116,4648000,26,61.0,7,المهدية,SQL Results
117,3137200,11,17.0,3,بن عروس,SQL Results
118,1052733,11,10.0,3,مدنين,SQL Results
119,3333312,35,6.0,7,الكاف,SQL Results
120,597776,6,1.0,2,أريانة,SQL Results
121,936800,8,10.0,3,المنستير,SQL Results
122,4662158,42,58.0,8,قفصة,SQL Results
123,2716637,13,19.0,12,الكاف,SQL Results
124,5060968,39,59.0,9,مدنين,SQL Results
125,16830800,24,142.0,10,المهدية,SQL Results
126,11420005,40,132.0,11,بنزرت,SQL Results
127,5210779,49,14.0,8,الكاف,SQL Results
128,8271843,63,73.0,10,القيروان,SQL Results
129,2881434,20,6.0,10,زغوان,SQL Results
130,2360878,7,37.0,8,بن عروس,SQL Results
131,3406232,16,4.0,7,جندوبة,SQL Results
132,279800,4,14.0,8,أريانة,SQL Results
133,1377765,7,8.0,10,توزر,SQL Results
134,4633200,22,8.0,9,زغوان,SQL Results
135,743800,4,12.0,7,أريانة,SQL Results
136,2280547,15,10.0,5,سليانة,SQL Results
137,13674760,27,61.0,3,صفاقس,SQL Results
138,2750172,5,12.0,3,منــوبة,SQL Results
139,15133186,8,195.0,7,بن عروس,SQL Results
140,1633988,7,50.0,9,أريانة,SQL Results
141,1014093,5,7.0,11,تــونس,SQL Results
142,23031587,53,71.0,2,القيروان,SQL Results
143,5532000,19,36.0,2,المهدية,SQL Results
144,11893060,66,74.0,1,سيدي بوزيد,SQL Results
145,2565496,24,26.0,3,سليانة,SQL Results
146,3191419,20,216.0,5,باجة,SQL Results
147,4743333,33,60.0,3,قفصة,SQL Results
148,2264826,22,10.0,2,الكاف,SQL Results
149,1901615,26,27.0,2,تطاوين,SQL Results
150,2477368,34,29.0,2,قبلي,SQL Results
151,4012574,10,7.0,7,تــونس,SQL Results
152,2137800,12,46.0,1,المنستير,SQL Results
153,4413532,30,32.0,7,مدنين,SQL Results
154,10030977,63,61.0,8,سيدي بوزيد,SQL Results
155,4257939,37,53.0,7,قفصة,SQL Results
156,3510840,45,15.0,7,القصرين,SQL Results
157,6413894,52,80.0,11,القيروان,SQL Results
158,1530434,25,,11,جندوبة,SQL Results
159,10298200,30,57.0,12,المهدية,SQL Results
160,1809450,11,20.0,11,المنستير,SQL Results
161,13449414,77,118.0,12,القيروان,SQL Results
162,4473028,25,50.0,7,باجة,SQL Results
163,7430513,67,28.0,9,القصرين,SQL Results
164,5195436,13,38.0,12,منــوبة,SQL Results
165,6589362,47,64.0,12,مدنين,SQL Results
166,1819546,18,17.0,12,قبلي,SQL Results
167,3147490,31,32.0,8,مدنين,SQL Results
168,615348,9,8.0,3,قبلي,SQL Results
169,989263,8,9.0,2,منــوبة,SQL Results
170,104000,2,,2,بن عروس,SQL Results
171,2033669,29,69.0,3,القيروان,SQL Results
172,1786000,7,26.0,6,بن عروس,SQL Results
173,1592220,7,19.0,2,سوسة,SQL Results
174,7152595,30,229.0,2,بنزرت,SQL Results
175,4274567,25,10.0,6,الكاف,SQL Results
176,8517442,32,55.0,5,قفصة,SQL Results
177,2547700,17,19.0,6,المنستير,SQL Results
178,5176665,29,85.0,1,بنزرت,SQL Results
179,3627301,28,143.0,2,باجة,SQL Results
180,2841668,14,53.0,3,بنزرت,SQL Results
181,3382871,27,52.0,7,بنزرت,SQL Results
182,8391315,73,67.0,9,سيدي بوزيد,SQL Results
183,2410635,17,17.0,8,باجة,SQL Results
184,3118963,10,11.0,7,زغوان,SQL Results
185,706400,7,13.0,8,سوسة,SQL Results
186,2923869,18,7.0,12,جندوبة,SQL Results
187,5767480,35,106.0,9,بنزرت,SQL Results
188,4390000,24,19.0,8,المهدية,SQL Results
189,776005,9,11.0,10,تــونس,SQL Results
190,7890869,23,208.0,11,سليانة,SQL Results
191,1927200,17,19.0,8,تطاوين,SQL Results
192,352906,3,4.0,9,توزر,SQL Results
193,1183450,15,16.0,12,تطاوين,SQL Results
194,4102471,34,31.0,8,سليانة,SQL Results
195,10988612,36,154.0,11,نابل,SQL Results
196,14266820,8,99.0,9,سوسة,SQL Results
197,4898845,37,40.0,8,القيروان,SQL Results
198,2483292,14,17.0,8,توزر,SQL Results
199,3228595,31,60.0,12,بنزرت,SQL Results
200,4337799,32,320.0,10,نابل,SQL Results
201,2017195,8,28.0,9,منــوبة,SQL Results
202,953146,9,7.0,5,قابس,SQL Results
203,194377,2,4.0,3,تــونس,SQL Results
204,4009882,36,42.0,6,مدنين,SQL Results
205,4299299,10,5.0,11,منــوبة,SQL Results
206,4078026,32,107.0,7,نابل,SQL Results
207,7140000,34,22.0,6,المهدية,SQL Results
208,9819468,88,34.0,6,القصرين,SQL Results
209,7345681,45,61.0,2,سيدي بوزيد,SQL Results
210,4529321,44,20.0,3,القصرين,SQL Results
211,4767416,17,160.0,5,زغوان,SQL Results
212,3100024,20,4.0,2,زغوان,SQL Results
213,7966680,29,57.0,5,صفاقس,SQL Results
214,5905100,40,136.0,3,سيدي بوزيد,SQL Results
215,1467016,10,341.0,3,نابل,SQL Results
216,2599930,23,61.0,6,باجة,SQL Results
217,6427100,44,61.0,1,القيروان,SQL Results
218,1285686,16,17.0,1,تطاوين,SQL Results
219,1904495,36,277.0,1,باجة,SQL Results
220,1203744,16,,3,الكاف,SQL Results
221,1467680,7,16.0,5,مدنين,SQL Results
222,2096239,8,31.0,1,بن عروس,SQL Results
223,3822125,30,34.0,5,القيروان,SQL Results
224,3324574,34,34.0,7,القيروان,SQL Results
225,8835927,16,65.0,11,بن عروس,SQL Results
226,9122217,87,82.0,10,سيدي بوزيد,SQL Results
227,7108607,66,20.0,10,القصرين,SQL Results
228,11010707,78,34.0,12,القصرين,SQL Results
229,7634259,29,72.0,12,باجة,SQL Results
230,5348426,30,7.0,10,الكاف,SQL Results
231,1394264,15,12.0,7,توزر,SQL Results
232,1163444,17,,8,جندوبة,SQL Results
233,2546106,30,4.0,9,جندوبة,SQL Results
234,17619500,30,63.0,11,المهدية,SQL Results
235,2253639,9,20.0,8,منــوبة,SQL Results
236,1415100,17,16.0,11,تطاوين,SQL Results
237,5374925,11,34.0,10,المنستير,SQL Results
238,2355048,18,16.0,1,جندوبة,SQL Results
239,8000,1,,4,المهدية,SQL Results
240,60059,1,1.0,5,تــونس,SQL Results
241,8146502,54,59.0,6,صفاقس,SQL Results
242,5623200,30,95.0,6,سليانة,SQL Results
243,2344174,31,33.0,2,مدنين,SQL Results
244,1520618,25,,5,جندوبة,SQL Results
245,6691175,21,133.0,5,نابل,SQL Results
246,538225,5,13.0,5,بن عروس,SQL Results
247,2893785,40,16.0,5,القصرين,SQL Results
248,2304800,10,25.0,2,المنستير,SQL Results
249,5946847,34,468.0,2,قابس,SQL Results
250,1011900,17,20.0,6,تطاوين,SQL Results
251,4515376,30,30.0,2,سليانة,SQL Results
252,2585843,29,4.0,1,الكاف,SQL Results
253,778405,6,15.0,5,قبلي,SQL Results
254,1540790,18,18.0,9,تطاوين,SQL Results
255,7876876,60,60.0,12,قفصة,SQL Results
256,11396517,86,82.0,11,سيدي بوزيد,SQL Results
257,2604777,24,9.0,9,الكاف,SQL Results
258,2298769,15,16.0,10,قبلي,SQL Results
259,11480284,105,93.0,12,سيدي بوزيد,SQL Results
260,4662727,51,72.0,9,قفصة,SQL Results
261,5654376,48,54.0,12,قابس,SQL Results
262,7427336,53,480.0,11,قابس,SQL Results
263,1696119,24,24.0,10,تطاوين,SQL Results
264,717147,7,7.0,11,قبلي,SQL Results
265,1473004,14,12.0,8,قبلي,SQL Results
266,2144497,13,4.0,8,زغوان,SQL Results
267,306567,1,3.0,4,نابل,SQL Results
