n,titre,auteur,annee,nom_fichier,feuille
1.0,Projet d’intensification agricole des périmètres irrigues de Tunisie rapport de phase 1 annexes version définitive,"DGRREE, Banque Mondiale",2018.0,1-RH,Feuil1
2.0,L’eau potable en milieu rural bonnes pratiques pour une meilleure gouvernance,"MARHPM, PNUD",,2-RH,Feuil1
3.0,مذكرة توجيهية لمجامع التنمية الفلاحية قصد تحسين التصرف في منظومات الماء الصالح للشرب : مبادئ الحوكمة الرشيدة للمياه,"MARHPM, PNUD",,3-RH,Feuil1
4.0,Etude de faisabilité de la délégation de service public pour les services d’eau potable en zones rurales en Tunisie,"MARHP, PPIAF, SCET, ASPA",2019.0,4-RH,Feuil1
5.0,"Rapport final de mission ""jumelage crues"" phase 2 : Expertises court terme en vue de l’élaboration d’une fiche de jumelage institutionnel portant sur la prévention et la gestion des crues","UE, Jaques Claude, Jaques Sironneau",2016.0,5-RH,Feuil1
6.0,Mission d’appuis institutionnel aux entités bénéficiaires des appuis complémentaires du programme d’appui aux politiques publiques de gestion des ressources en eau pour le développement rural et agricole (PAPS-EAU) en Tunisie : phase 2 rapport,"Bureau de Planification et des équilibres hydrauliques, Office International de l'Eau, UE",,6-RH,Feuil1
7.0,Mission d’appui institutionnel aux entités bénéficiaires des appuis complémentaires du programme d’appui aux politiques publiques de gestion des ressources en eaux pour le développement rural et agricole (PAPS-EAU) en Tunisie : phase 1  rapport,"Bureau de Planification et des équilibres hydrauliques, Office International de l'Eau, UE",2015.0,7-RH,Feuil1
8.0,"Etude de faisabilité institutionnelle pour la gestion des systèmes hydrauliques des périmètres irrigués Evaluation de la participation du secteur privé, Phase1  : Contexte institutionnel et juridique de Irrigation et modes de gestion des périmètres irrigués","DGGREE, PIAT",2018.0,8-RH,Feuil1
9.0,Guides pratiques simplifier à l’attention des formateurs des GDAs d’AEP rurale,"MARHP, PNUD",,9-RH,Feuil1
10.0,"Etude de faisabilité institutionnelle pour la gestion des systèmes hydrauliques des périmètres irrigués Evaluation de la participation du secteur privé, rapport phase3: proposition de modes de gestion pour la zone du projet","DGGREE, PIAT",2018.0,10-RH,Feuil1
11.0,Méthodologie de contrôle financier des GH,"DGGREE, IGIP, KFW",,11-RH,Feuil1
12.0,"Projet d’investissement dans le secteur de l’eau phase II (""Piseau II"")- mesures d’accompagnement : études d'évaluation de la politique tarifaire er révision et lise en œuvre de nouveaux mode de tarification, dialogue national : Ateliers régionaux de restitution des résultats du diagnostic","DGGREE, Management & Engineering, SCET",2018.0,12-RH,Feuil1
13.0,"Projet d’investissement dans le secteur de l’eau phase II (""Piseau II"")- mesures d’accompagnement : études d'évaluation de la politique tarifaire er révision et lise en œuvre de nouveaux mode de tarification,  Tarification préférentielle au niveau des grands PPI : 2VALUATION ET ANALYDE DU MODE D4APPLICATION ET DES IMPACTS","DGGREE, Management & Engineering, SCET",2018.0,13-RH,Feuil1
14.0,"Projet d’investissement dans le secteur de l’eau phase II (""Piseau II"")- mesures d’accompagnement : études d'évaluation de la politique tarifaire er révision et lise en œuvre de nouveaux mode de tarification, tarification des EUT au niveau des PPI : rapport diagnostic et propositions tarifaires partie 1 : diagnostic","DGGREE, Management & Engineering, SCET",2018.0,14RH,Feuil1
15.0,"Projet d’investissement dans le secteur de l’eau phase II (""Piseau II"")- mesures d’accompagnement : études d'évaluation de la politique tarifaire er révision et lise en œuvre de nouveaux mode de tarification, politique et proposition tarifaires","DGGREE, SCET, Management & Engineering",2018.0,15-RH,Feuil1
16.0,Etude stratégique de l’alimentation en eau potable en milieu rural en Tunisie Rapport. Rapport mission 3 : évaluation rétrospective du secteur de l’alimentation en eau potable en milieu rural,SONEDE,2015.0,16-RH,Feuil1
17.0,Etude préalable à un plan national réutilisation des eaux usées traitées pour la Tunisie Livrable 2 : exemples internationaux applicables au contexte tunisien,"Nicolas Condom, Rémi Declercq,  MARHP",2017.0,17-RH,Feuil1
18.0,"Elaboration des approches et concepts pour la pérennisation de la gestion et de l’exploitation des systèmes d’eau concept5 Protection, économie et utilisation efficace des ressources en eau Rapport final","DGGREE, IGIP, KFW",2013.0,18-RH,Feuil1
19.0,Proposition pour une harmonisation des approches et une actualisation de la stratégie national de pérennisation des systèmes d’AEP en milieu rural et des systèmes d’irrigation Cadre logique,"DGGREE, IGIP, KFW",2009.0,19-RH,Feuil1
20.0,Etude stratégique de l’alimentation en eau potable en milieu rural en Tunisie Rapport de système de l’étude,SONEDE,2015.0,20-RH,Feuil1
21.0,Elaboration des approches et concepts pour la pérennisation de la gestion et de l’exploitation des systèmes d’eau concept4 Intégration du secteur privé régional local : rapport final,"DGGREE, IGIP, KFW",2013.0,21RH,Feuil1
22.0,Programme d'appui aux politiques publiques de gestion des ressourcess en eau pour le développement rural et agricole Lot 3 : Etude de formulation de la stratégie du drainage des terres agricoles phase 2 : étude de faisabilité-APS de la tranche prioritaire rapport de synthèse,"DGGREE, Bureau de planification et des équilibres hydrauliques, UE",2017.0,22-RH,Feuil1
23.0,"Stratégie nationale pour la pérennisation de la gestion et de l’exploitation des systèmes d’eau , mission 1 : assistance technique à la l'élaboration des approches et concepts pour la pérennisation de la gestion et l'exploitation des systèmes d'eau rapport final","DGGREE, IGIP, KFW",2013.0,23-RH,Feuil1
24.0,Elaboration des approches et concepts pour la pérennisation de la gestion et de l’exploitation des systèmes d’eau concept1 : appui institutionnel aux GDA/GH,"DGGREE, IGIP, KFW",2013.0,24-RH,Feuil1
25.0,Elaboration des approches et concepts pour la pérennisation de la gestion et de l’exploitation des systèmes d’eau (mission 1) concept2 Amélioration des procédures du contrôle financier rapport final,"DGGREE, IGIP, KFW",2013.0,25-RH,Feuil1
