delegation,secteur,nom_huilerie,coordonnees_gps,systeme_de_transformation_traditionnel_non_fonctionnel,systeme_de_transformation_trdaditionnel,systeme_de_transformation_systeme_haute_tension,systeme_de_transformation_systeme_continu_2_etapes,systeme_de_transformation_systeme_continu_3_etapes,capacite_totale_de_transformation_tonne_jour,capacite_de_stockage_de_lhuile_tonne,stockage_dans_le_majel_tonne,stockage_dans_le_fer_anti_oxydant,adresse_de_lhuilerie,quantite_dhuile_disponible_tonne_debut_septembre_2025_super,feuille
جرجيس,الموانسة,احمد الميلادي,x:693586.00  y:3709543.00,,,,1.0,1.0,50.0,300.0,220.0,80.0,الموانسة,,معاصر
جرجيس,الموانسة,الحاج ضو بن عبد السلام,x:693261.33  y:3708035.87,,,1.0,,,10.0,180.0,180.0,,الموانسة,,معاصر
جرجيس,الموانسة,الحاج محمد الغري,x: 692980.77  y: 3709026.51,,,,,1.0,25.0,120.0,120.0,,الموانسة,,معاصر
جرجيس,الموانسة,محمد علي الجبو,x:695912.26   y:3707468.15,,,,,1.0,35.0,110.0,110.0,,الموانسة,,معاصر
جرجيس,الموانسة,المولدي المناكري,x:693906.08 y:3709083.36,,,,,1.0,60.0,300.0,300.0,,الموانسة,,معاصر
جرجيس,الموانسة,منصور بوعواجة,x:693068.77 y:3709110.36,,,,,2.0,50.0,240.0,150.0,90.0,الموانسة,,معاصر
جرجيس,الموانسة,سالم الجزيري,x:694279.03  y:3708716.79,,,,,1.0,30.0,80.0,80.0,,الموانسة,,معاصر
جرجيس,الموانسة,الهادي بن ضو بوعواجة,x:694334.87 y:3708673.42,,,,,,30.0,250.0,250.0,,الموانسة,,معاصر
جرجيس,الموانسة,رشيد بن محمد لبيض,x:688002.47  y:3708610.16,,,,,1.0,40.0,80.0,80.0,,الموانسة,,معاصر
جرجيس,الموانسة,فرح بن عمار زراقة,x:694179.52   y:3709070.51,1.0,1.0,,,,12.0,120.0,120.0,,الموانسة,,معاصر
جرجيس,الموانسة,فتحي مطيمط,x:693868.64    y:3709186.18,,1.0,,,,12.0,10.0,10.0,,الموانسة,,معاصر
جرجيس,طريق الميناء,شركة الأمل (محمد الهادي الجبو),x: 695912.26   y: 3707468.15,,,,,2.0,50.0,300.0,,300.0,طريق الميناء,,معاصر
جرجيس,طريق الميناء,نورالدين عبد الرحمان بوعواجة,x:687213.55   y:3711129.80,,,,1.0,,80.0,1750.0,,1750.0,طريق الميناء,100.0,معاصر
جرجيس,شماخ,ديوان الأراضي الدولية (OTD),x: 686956.39   y: 3719162.49,1.0,,,,1.0,30.0,250.0,250.0,,شماخ,,معاصر
جرجيس,شماخ,محمد جبنون,x:690512.62  y: 3715485.10,,,,,1.0,60.0,120.0,100.0,20.0,شماخ,,معاصر
جرجيس,شماخ,سالم بولعراض,x:689324.24 y: 3716661.385,,,,,1.0,40.0,300.0,300.0,,,,معاصر
جرجيس,شماخ,المولدي عبيشو,x:691814.79 y: 3714183.43,,,,,1.0,60.0,120.0,90.0,30.0,شماخ,,معاصر
جرجيس,شماخ,معصرة الجلوالي,x:689307.13   y:3714188.86,,,,,1.0,100.0,245.0,,245.0,الدخلة شماخ,,معاصر
جرجيس,شماخ,الهاشمي عبيشو(شركة أسيا),x:690271.88  y:3715673.82,,,,,1.0,70.0,250.0,250.0,,شماخ,60.0,معاصر
جرجيس,شماخ,صياح الحافي,x:687885.73  y: 3717880.62,,,,,1.0,40.0,40.0,,40.0,شماخ,,معاصر
جرجيس,شماخ,حواش الوريمي,x: 685751.48    y:3716490.81,,,1.0,,,10.0,,,,شماخ,,معاصر
جرجيس,شماخ,علي مصدق,x: 687661.86   y: 3717882.52,,,1.0,,,15.0,30.0,25.0,5.0,شماخ,120.0,معاصر
جرجيس,شماخ,التومي عبيشو,x: 688590.48  y :3719471.84,,,1.0,,,8.0,25.0,20.0,5.0,شماخ,,معاصر
جرجيس,شماخ,فرحات بولعابة مرعي,x:689840.04  y:3714430.54,,,,1.0,1.0,160.0,1400.0,,1400.0,شماخ,,معاصر
جرجيس,شماخ,معصرة المنافق,x:685946.60  y:3719760.80,,,,,1.0,30.0,60.0,,60.0,شماخ,,معاصر
جرجيس,حسي الجربي,منصور بن عمار,x:684630.81  y:3720990.28,,,1.0,,,10.0,80.0,80.0,,حسي الجربي,,معاصر
جرجيس,حسي الجربي,الجيلاني بن زايد و علي عبيشو,x:683277.63   y:3721169.79,,,,,1.0,12.0,20.0,20.0,,حسي الجربي,,معاصر
جرجيس,بو تفاحة,عبد العزيز الذويب,x:693629.12  y:3701417.16,,,,,1.0,30.0,120.0,100.0,20.0,العلنداية,,معاصر
جرجيس,بو تفاحة,المنصف بنكالية,x: 694148.84   y:3705932.54,,,,,1.0,70.0,250.0,200.0,50.0,بو تفاحة,,معاصر
جرجيس,هشام حمادي,الهاشمي بورقيبة,x: 691500.08    y:3707172.95,,,,,1.0,10.0,70.0,70.0,,هشام حمادي,,معاصر
جرجيس,هشام حمادي,منصور بن عمر بلحاج,,,,1.0,,,12.0,0.0,,,هشام حمادي,,معاصر
جرجيس,هشام حمادي,احمد بلهيبة النبهاني,x: 689555.67 y: 3705868.34,,,,,1.0,9.0,100.0,80.0,20.0,هشام حمادي,,معاصر
جرجيس,زيان,المنجي قمعون و الكيلاني الغضوي,x:688896.54    y:3708466.12,,,1.0,,,30.0,300.0,300.0,,زيان,,معاصر
جرجيس,راس الظهرة,معصرة زريدات وشركاءه,,,,,,1.0,40.0,0.0,,,راس الظهرة,,معاصر
جرجيس,خوي الغدير,علي بن سعيد الكرشاوي,x:685250.05  y:3714005.50,1.0,,,,,8.0,100.0,100.0,,خوي الغدير,,معاصر
جرجيس,خوي الغدير,سالم بن مبروك بوعجيلة,x:687576.32  y:3712358.99,,,1.0,,,12.0,100.0,100.0,,خوي الغدير,,معاصر
جرجيس,خوي الغدير,الحاج خليفة الكرشاوي,x: 685839.19  y:3711276.50,,,,,1.0,15.0,70.0,70.0,,خوي الغدير,,معاصر
جرجيس,خوي الغدير,أحمد بن إبراهيم صلبلب,x:685565.89    y:3712451.12,,,,,1.0,35.0,60.0,60.0,,خوي الغدير,,معاصر
جرجيس,القريبيس,بشير الكرشاوي,x:683773.9  y:3714337.12,,,,,1.0,40.0,160.0,140.0,20.0,القريبيس,,معاصر
جرجيس,القريبيس,بلقاسم الكرشاوي,x:687425.55   y:3711791.13,,,1.0,,1.0,20.0,60.0,60.0,,القريبيس,,معاصر
جرجيس,القريبيس,البشير فريعة,x: 683341.20 y:3715032.38,,,,,1.0,20.0,100.0,100.0,,القريبيس,,معاصر
جرجيس,القريبيس,أنيس فريعة,x:693717.74  y:3709366.73,,,,,1.0,40.0,60.0,60.0,,القريبيس,,معاصر
جرجيس,القريبيس,حيدر فريعة,x:684137.91   y:3715364.39,,,,,1.0,30.0,70.0,70.0,,القريبيس,,معاصر
جرجيس,القريبيس,فاكر فريعة,x:693717.74   y:3709366.73,,,,,1.0,10.0,70.0,50.0,20.0,القريبيس,,معاصر
جرجيس,أم الشحم,لطفي المازوزي,,,1.0,,,,12.0,0.0,,,الدخلة,,معاصر
جرجيس,الغرابات,العروسي مشارك,x:667911.85   y:3696635.86,,,,,1.0,12.0,50.0,50.0,,الغرابات,,معاصر
جرجيس,الغرابات,محمد العكرمي و اخواته,,,,,,1.0,20.0,0.0,,,الغرابات,,معاصر
جرجيس,لوبيقلة,شركة الزهرة (محمد العكوي),x: 667443.15   3696693.28,,,,,2.0,140.0,300.0,300.0,,الغرابات,,معاصر
جرجيس,خلف الله,سعيد الجبو,x:680441.48  y:3702871.71,,,,,1.0,100.0,100.0,100.0,,خلف الله,,معاصر
جرجيس,خلف الله,منصور بالحاج,x:679328.95 y:3702278.23,1.0,,,,,15.0,50.0,50.0,,خلف الله,,معاصر
جرجيس,الغرابات,محمد مختار العكوي,x:675930.90  y:3700448.74,,,,,2.0,110.0,120.0,120.0,,الغرابات,,معاصر
جرجيس,راس الظهرة,زريدات و شركائه,,,,,,1.0,40.0,150.0,50.0,100.0,راس الظهرة,,معاصر
جرجيس,راس الظهرة,فتحي سليم,x:691491.70    y:3711811.40,,,,,1.0,40.0,50.0,30.0,20.0,راس الظهرة,,معاصر
جرجيس,شريشيرة,عبد الحميد زراقة فريح (سعاد فتح الله),x:694179.52  y:3709070.51,,,,,1.0,70.0,250.0,,250.0,شريشيرة,,معاصر
جرجيس,شريشيرة,المنجي سليم,x:686418.10   y:3705016.07,,,,,1.0,60.0,50.0,20.0,50.0,شريشيرة,,معاصر
جرجيس,جرجيس,عبد الجليل بلهيبة,x:689555.67  y:3705868.34,1.0,,,,1.0,,,,,جرجيس,,معاصر
جرجيس,جرجيس,الصادق بن سليم,x:694695.79   y:3708437.49,1.0,,,,,,,,,جرجيس,,معاصر
جرجيس,الموانسة,شركة SACIC,x:694444.96   y:3708378.35,1.0,,,,,,,,,الموانسة,,معاصر
جرجيس,الموانسة,خميس مصدق,x:691710.80  y:3708961.76,1.0,,,,,,,,,الموانسة,,معاصر
جرجيس,الموانسة,محمد فتحي جبنون,,,,,,,,,,,الموانسة,,معاصر
جرجيس,الموانسة,ورثة عبد الله بن فقيه,x:693976.17    y:3708986.21,1.0,,,,,,,,,الموانسة,,معاصر
جرجيس,الموانسة,عبد السلام الربيع و شركاءه,x:694213.75     y:3709012.81,1.0,,,,,,,,,الموانسة,,معاصر
جرجيس,قصر أولاد سعيد,سالم بو شعرة,x:694017.52    y:3711761.87,1.0,,,,,,,,,قصر أولاد سعيد,,معاصر
جرجيس,قصر أولاد سعيد,الحاج البشير لبيض,x:695549.32    y:3709961.62,1.0,,,,,,,,,قصر أولاد سعيد,,معاصر
جرجيس,حي البساتين,صادق كليش,,1.0,,,,,,,,,حي البساتين,,معاصر
