السنة,الولايــة,عدد_المناطق_السقوية_العمومية,عدد_المنتفعين,عدد_الابار,المساحة_هك,عدد_الابار_السطحية_الخاصة,مساحة_الابار_السطحية_الخاصةهك,عدد_الابار_العميقة_الخاصة,مساحة_الابار_العميقة_الخاصة_هك,عدد_الابار_ديوان_الاراضي_الدولية,المساحة_ديوان_الاراضي_الدوليةهك,عدد_الابار_شركات_الاحياء,المساحة_شركات_الاحياءهك,المجموع_هك,feuille
2021,بوزيد الغربية,12,1227,17,1566,2817,7746.75,21,184.8,5.0,400.0,,,9898.0,Feuil1
2021,بوزيد الشرقية,12,776,17,830,2313,6360.75,151,1328.8000000000002,3.0,210.0,,,8730.0,Feuil1
2021,المكناسي,9,417,11,562,664,1826.0,126,1108.8000000000002,1.0,20.0,,,3517.0,Feuil1
2021,الرقاب و السعيدة,2,70,2,141,1429,3929.75,564,4963.200000000001,,,,,9034.0,Feuil1
2021,جلمة,11,1037,11,1258,1205,3313.75,70,616.0,,,6.0,1133.0,6321.0,Feuil1
2021,بن عون,3,131,3,192,43,118.25,174,1531.2,,,,,1841.0,Feuil1
2021,المزونة,3,125,3,336,444,1221.0,76,668.8000000000001,,,,,2226.0,Feuil1
2021,السبالة,5,501,7,573,749,2059.75,38,334.40000000000003,,,,,2967.0,Feuil1
2021,أولاد حفوز,2,84,3,147,536,1474.0,161,1416.8000000000002,,,,,3038.0,Feuil1
2021,بئر الحفي,5,195,5,338,664,1826.0,316,2780.8,2.0,87.0,,,5032.0,Feuil1
2021,منزل بوزيان,8,429,9,691,1083,2978.25,79,695.2,1.0,250.0,3.0,460.0,5074.0,Feuil1
2021,السوق الجديد,8,529,9,483,1087,2989.25,71,624.8000000000001,,,,,4097.0,Feuil1
2021,الجملة,80,2221,97,7117,13034,35844.0,1847,16254.0,12.0,967.0,9.0,1593.0,61774.0,Feuil1
2022,بوزيد الغربية,12,1195,17,1566,2815,7792.0,21,195.0,5.0,400.0,,,9892.05,Feuil1
2022,بوزيد الشرقية,12,756,17,830,2313,6403.0,164,1405.0,3.0,210.0,,,8729.55,Feuil1
2022,المكناسي,9,406,11,562,662,1832.0,132,1172.0,1.0,20.0,,,3511.3,Feuil1
2022,الرقاب و السعيدة,2,68,2,141,1428,3954.0,565,5246.0,,,,,9031.2,Feuil1
2022,جلمة,11,1010,11,1258,1204,3333.0,72,651.0,,,6.0,1133.0,6318.0,Feuil1
2022,بن عون,3,128,3,192,43,119.0,193,1619.0,,,,,1841.45,Feuil1
2022,المزونة,3,122,3,336,444,1229.0,90,707.0,,,,,2225.8,Feuil1
2022,السبالة,6,488,7,573,748,2071.0,38,353.0,,,,,2964.4,Feuil1
2022,أولاد حفوز,2,82,3,147,536,1484.0,163,1498.0,,,,,3037.8,Feuil1
2022,بئر الحفي,5,190,5,338,662,1838.0,354,2939.0,2.0,87.0,,,5031.8,Feuil1
2022,منزل بوزيان,8,418,9,691,1083,2998.0,82,735.0,1.0,250.0,3.0,460.0,5074.45,Feuil1
2022,السوق الجديد,8,516,9,483,1086,3005.0,71,660.0,,,,,4094.3,Feuil1
2022,الجملة,81,5379,97,7117,13024,36058.0,1945,17181.0,12.0,967.0,9.0,1593.0,62916.0,Feuil1
