الاسطول_و_اليد_العاملة_بقطاع_الصيد_البحري,unnamed_1,unnamed_2,unnamed_3,unnamed_4,feuille,unnamed_6,unnamed_0,الــولايـــــة,مركب_صيد_ساحلي_مجهز_بمحرك,مركب_صيد_ساحلي_غير_مجهز_بمحرك,وحدات_صيد_بالجر,السمك_الازرق,وحدات_صيد_التن,تربية_احياء_مايية,سدود
,مراكب صيد ساحلي بدون محرك,172.0,9.0,614.0,FLO-POP-GAB017,,,,,,,,,,
الزرات,مراكب صيد ساحلي مجهزة بمحرك,31.0,0.0,146.0,FLO-POP-GAB017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,16.0,1.0,122.0,FLO-POP-GAB017,,,,,,,,,,
,وحدات صيد السمك الأزرق,9.0,0.0,135.0,FLO-POP-GAB017,,,,,,,,,,
,الصيد على الاقدام,0.0,0.0,500.0,FLO-POP-GAB017,,,,,,,,,,
العـــكاريت,مراكب صيد ساحلي بدون محرك,18.0,0.0,36.0,FLO-POP-GAB017,,,,,,,,,,
,الصيد على الاقدام,0.0,0.0,0.0,FLO-POP-GAB017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,201.0,9.0,768.0,FLO-POP-GAB017,,,,,,,,,,
المجموع,مراكب صيد ساحلي بدون محرك,234.0,19.0,1044.0,FLO-POP-GAB017,,,,,,,,,,
,وحدات صيد السمك الأزرق,56.0,5.0,840.0,FLO-POP-GAB017,,,,,,,,,,
,صيد على الأقدام,0.0,0.0,500.0,FLO-POP-GAB017,,,,,,,,,,
المجموع,,491.0,33.0,3152.0,FLO-POP-GAB017,,,,,,,,,,
بولاية مـــدنــيـــــن لسنة 2017,,,,,FLO-POP-MED2017,,,,,,,,,,
,,,,,FLO-POP-MED2017,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-MED2017,,,,,,,,,,
,نوع المركب,,,,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,320.0,20.0,1440.0,FLO-POP-MED2017,,,,,,,,,,
جــرجـيـــــــــس,مراكب صيد ساحلي بدون محرك,674.0,40.0,690.0,FLO-POP-MED2017,,,,,,,,,,
,وحدات الصيد بالجر,3.0,0.0,55.0,FLO-POP-MED2017,,,,,,,,,,
,وحدات صيد السمك الأزرق,30.0,0.0,502.0,FLO-POP-MED2017,,,,,,,,,,
,وحدات صيد التــن,1.0,0.0,17.0,FLO-POP-MED2017,,,,,,,,,,
,تربية أحياء مائية,3.0,0.0,43.0,FLO-POP-MED2017,,,,,,,,,,
,الصيد على الأقدام,0.0,0.0,260.0,FLO-POP-MED2017,,,,,,,,,,
حــومــــة السوق,مراكب صيد ساحلي مجهزة بمحرك,90.0,30.0,600.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,600.0,100.0,800.0,FLO-POP-MED2017,,,,,,,,,,
,وحدات صيد السمك الأزرق,1.0,0.0,10.0,FLO-POP-MED2017,,,,,,,,,,
أجــيـــــــــم,مراكب صيد ساحلي مجهزة بمحرك,80.0,20.0,300.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,420.0,30.0,800.0,FLO-POP-MED2017,,,,,,,,,,
,الصيد على الأقدام,0.0,0.0,200.0,FLO-POP-MED2017,,,,,,,,,,
حاسي جلابة,مراكب صيد ساحلي مجهزة بمحرك,33.0,8.0,110.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,75.0,6.0,80.0,FLO-POP-MED2017,,,,,,,,,,
بـــــوغــرارة,مراكب صيد ساحلي مجهزة بمحرك,96.0,3.0,384.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,85.0,10.0,90.0,FLO-POP-MED2017,,,,,,,,,,
,تربية أحياء مائية,1.0,0.0,17.0,FLO-POP-MED2017,,,,,,,,,,
سيــدى مــخلــوف,مراكب صيد ساحلي مجهزة بمحرك,75.0,0.0,225.0,FLO-POP-MED2017,,,,,,,,,,
(القرين),مراكب صيد ساحلي بدون محرك,67.0,15.0,134.0,FLO-POP-MED2017,,,,,,,,,,
,الصيد على الأقدام,0.0,0.0,1200.0,FLO-POP-MED2017,,,,,,,,,,
أغـــيــر,مراكب صيد ساحلي مجهزة بمحرك,2.0,0.0,8.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,250.0,30.0,500.0,FLO-POP-MED2017,,,,,,,,,,
الـــكـــتـف,مراكب صيد ساحلي مجهزة بمحرك,60.0,2.0,260.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,80.0,20.0,120.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,756.0,83.0,3327.0,FLO-POP-MED2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,2251.0,251.0,3214.0,FLO-POP-MED2017,,,,,,,,,,
,وحدات صيد السمك الأزرق,31.0,0.0,512.0,FLO-POP-MED2017,,,,,,,,,,
المجموع,وحدات الصيد بالجر,3.0,0.0,55.0,FLO-POP-MED2017,,,,,,,,,,
,تربية أحياء مائية,4.0,0.0,60.0,FLO-POP-MED2017,,,,,,,,,,
,الصيد على الأقدام,,,1660.0,FLO-POP-MED2017,,,,,,,,,,
المجموع,,3046.0,334.0,8845.0,FLO-POP-MED2017,,,,,,,,,,
,,,,,ETAT DE FLOTILLE17,,,جــنــدوبــة و بــــــــاجة,1.0,0.0,1.0,1.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,بــــنـــــزرت,21.0,4.0,3.0,8.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,أريـــــــــانة,2.0,4.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,تـــــونــس,15.0,9.0,1.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,بن عروس,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,نـــــــــابـل,29.0,15.0,0.0,3.0,0.0,0.0,1.0
,,,,,ETAT DE FLOTILLE17,,,ســــــــوســــــة,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,,,,,ETAT DE FLOTILLE17,,,الــمــنـســتـيــــــر,28.0,3.0,0.0,6.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,الـمــهــد يــــــة,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,صــفـــــــــــاقس,87.0,184.0,8.0,5.0,3.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,قـــــــــابـــس,9.0,19.0,0.0,5.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,مــــــدنــيـــــــن,83.0,251.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,الـــــكـــاف,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,ســـليـــــانة,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,زغــــوان,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,ETAT DE FLOTILLE17,,,الـــقــيروان,0.0,0.0,0.0,0.0,0.0,0.0,0.0
