الاسطول_و_اليد_العاملة_بقطاع_الصيد_البحري,unnamed_1,unnamed_2,unnamed_3,unnamed_4,feuille,unnamed_6,unnamed_0,الــولايـــــة,مركب_صيد_ساحلي_مجهز_بمحرك,مركب_صيد_ساحلي_غير_مجهز_بمحرك,وحدات_صيد_بالجر,السمك_الازرق,وحدات_صيد_التن,تربية_احياء_مايية,سدود
ومرفأ م عبد الرحمان,مراكب صيد ساحلي بدون محرك,95.0,0.0,276.0,FLO-POP-BI2017,,,,,,,,,,
بنزرت الجنوبية,مراكب صيد ساحلي مجهزة بمحرك,17.0,0.0,85.0,FLO-POP-BI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,87.0,0.0,174.0,FLO-POP-BI2017,,,,,,,,,,
رفراف و صونين,مراكب صيد ساحلي مجهزة بمحرك,9.0,5.0,45.0,FLO-POP-BI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,70.0,3.0,140.0,FLO-POP-BI2017,,,,,,,,,,
كاب زبيب,مراكب صيد ساحلي مجهزة بمحرك,23.0,3.0,115.0,FLO-POP-BI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,33.0,0.0,66.0,FLO-POP-BI2017,,,,,,,,,,
سيدي مشرق,مراكب صيد ساحلي مجهزة بمحرك,45.0,0.0,225.0,FLO-POP-BI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,83.0,0.0,166.0,FLO-POP-BI2017,,,,,,,,,,
سد غزالة,مراكب الصيد بالسدود (بدون محرك),1.0,0.0,8.0,FLO-POP-BI2017,,,,,,,,,,
سد سجنان,مراكب الصيد بالسدود (بدون محرك),4.0,0.0,12.0,FLO-POP-BI2017,,,,,,,,,,
سد جومين,مراكب الصيد بالسدود (بدون محرك),3.0,0.0,16.0,FLO-POP-BI2017,,,,,,,,,,
سد قمقوم,مراكب الصيد بالسدود (بدون محرك),1.0,0.0,2.0,FLO-POP-BI2017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,476.0,21.0,2330.0,FLO-POP-BI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,799.0,4.0,1684.0,FLO-POP-BI2017,,,,,,,,,,
المــجــمــــوع,وحدات صيد السمك الأزرق,37.0,8.0,555.0,FLO-POP-BI2017,,,,,,,,,,
,تربية أحياء مائية,9.0,0.0,38.0,FLO-POP-BI2017,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,1368.0,36.0,4979.0,FLO-POP-BI2017,,,,,,,,,,
بولاية أريانة لسنة 2017,,,,,FLO-POP-ARI2017,,,,,,,,,,
,,,,,FLO-POP-ARI2017,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-ARI2017,,,,,,,,,,
,نوع المركب,,,,FLO-POP-ARI2017,,,,,,,,,,
قلعة الأندلس,مراكب صيد ساحلي مجهزة بمحرك,130.0,2.0,700.0,FLO-POP-ARI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,63.0,2.0,126.0,FLO-POP-ARI2017,,,,,,,,,,
رواد,مراكب صيد ساحلي بدون محرك,83.0,2.0,217.0,FLO-POP-ARI2017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,130.0,2.0,700.0,FLO-POP-ARI2017,,,,,,,,,,
المــجــمــــوع,,,,,FLO-POP-ARI2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,146.0,4.0,343.0,FLO-POP-ARI2017,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,276.0,6.0,1043.0,FLO-POP-ARI2017,,,,,,,,,,
بولاية تونس لسنة 2017,,,,,FLO-POP-TUN 17,,,,,,,,,,
,,,,,FLO-POP-TUN 17,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-TUN 17,,,,,,,,,,
,نوع المركب,,,,FLO-POP-TUN 17,,,,,,,,,,
حلق الوادي,مراكب صيد ساحلي مجهزة بمحرك,88.0,7.0,264.0,FLO-POP-TUN 17,3.0,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,72.0,3.0,158.0,FLO-POP-TUN 17,2.1944444444444446,,,,,,,,,
