annee,produit,importation,feuille
2007,blé dur,5157,Feuil1
2007,blé tendre,10767,Feuil1
2007,orge,7819,Feuil1
2008,blé dur,6045,Feuil1
2008,blé tendre,10793,Feuil1
2008,orge,4953,Feuil1
2009,blé dur,2840,Feuil1
2009,blé tendre,7415,Feuil1
2009,orge,9679,Feuil1
2010,blé dur,6022,Feuil1
2010,blé tendre,9967,Feuil1
2010,orge,4243,Feuil1
2011,blé dur,3595,Feuil1
2011,blé tendre,9516,Feuil1
2011,orge,2789,Feuil1
2012,blé dur,4173,Feuil1
2012,blé tendre,9108,Feuil1
2012,orge,3044,Feuil1
2013,blé dur,3900,Feuil1
2013,blé tendre,10417,Feuil1
2013,orge,7771,Feuil1
2014,blé dur,4900,Feuil1
2014,blé tendre,10616,Feuil1
2014,orge,4007,Feuil1
2015,blé dur,6156,Feuil1
2015,blé tendre,10814,Feuil1
2015,orge,5231,Feuil1
2016,blé dur,7340,Feuil1
2016,blé tendre,10840,Feuil1
2016,orge,6639,Feuil1
2017,blé dur,6002,Feuil1
2017,blé tendre,11210,Feuil1
2017,orge,5438,Feuil1
2018,blé dur,6274,Feuil1
2018,blé tendre,11195,Feuil1
2018,orge,6664,Feuil1
