annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
janvier,24730.0,31287.94,22152.0,43085.0,18700.0,,14090.58,30934.76,,,,,,,,,,0,0,TS  tonne
fevrier,7144.357,17017.32,12615.0,51655.0,22508.0,40604.0,34889.0,18697.69,,,,38817.75,,,,3028.05,10755.0,0,0,TS  tonne
mars,26096.397999999997,18150.236,33663.18,31755.0,14180.2,14416.0,25725.03,17101.0,41699.57,,,,,5500.0,,10155.0,34750.0,6024,0,TS  tonne
avril,18780.0,33720.891,20652.0,18885.0,13017.0,19500.0,35120.78,33281.42,,,,,,4852.443,,,,0,0,TS  tonne
mai,22410.8,25932.2,6639.64,22305.0,55868.4,31984.0,32815.315,53171.42,19800.0,,6414.0,,,9354.45,,37180.0,17250.0,15000,0,TS  tonne
juin,18505.0,36875.444,21168.28,42430.0,16150.0,27098.0,16530.0,49719.69500000001,18800.0,,4999.915,,16878.0,49609.0,38350.0,27500.0,12000.0,0,0,TS  tonne
juillet,12886.16,29725.35,28588.1,25655.0,34460.0,14250.0,26089.94,,19800.0,25300.0,24652.77,,49443.0,16500.0,,,,0,0,TS  tonne
aout,38727.0,15809.65,21000.0,32585.0,16500.0,18248.0,14732.59,21998.455,22430.0,14887.615,,6831.66,19615.0,,,9900.0,,16170,0,TS  tonne
septembre,26618.0,32479.82,22071.5,23454.0,33650.0,18632.0,33001.27,16000.0,,20632.0,,24033.0,,,24200.0,31643.6,,0,0,TS  tonne
octobre,24642.841,17550.0,15315.6,20155.0,33117.0,13500.0,58639.16,18091.0,,,,24770.63,,,19500.0,20502.0,,0,12435,TS  tonne
novembre,26220.763,21611.0,5813.82,19320.0,31043.0,62457.0,18082.515,22000.0,,,,13146.3,,15350.0,24700.0,,,0,18010,TS  tonne
decembre,17600.0,25085.14,31497.0,,,,,56026.85,38346.252,,,,,44499.764,,,,0,16000,TS  tonne
