ع_ر,البلدية,عدد_النخيل_الجملي,المداواة_بالرش_منذ_02_12_2019,نسبة_الانجاز,عدد_النخيل_المطهر_منذ_10_12_2019,عدد_النخيل_الذي_ينتظر_التطهير,النخيل_صعب_النفاذ,تركيز_المصايد,صيانة_المصايد,feuille
1.0,بن عروس,1115,570,51.1,10,16,0,4.0,0,Feuil1
2.0,مقرين,1120,407,36.3,9,6,1,11.0,7,Feuil1
3.0,رادس,2253,154,6.8,6,10,2,13.0,0,Feuil1
4.0,الزهراء,1500,523,34.9,0,18,2,5.0,0,Feuil1
5.0,حمام الأنف,767,0,0.0,15,2,0,4.0,0,Feuil1
6.0,حمام الشط,780,70,9.0,0,2,0,4.0,0,Feuil1
7.0,بومهل,463,140,30.2,9,6,1,7.0,0,Feuil1
8.0,مرناق,400,210,52.5,1,5,0,14.0,11,Feuil1
9.0,المروج,500,0,0.0,0,9,0,2.0,0,Feuil1
10.0,فوشانة,2200,0,0.0,0,1,0,3.0,0,Feuil1
11.0,المحمدية,283,0,0.0,0,1,0,,0,Feuil1
12.0,نعسان,100,20,20.0,3,1,0,3.0,0,Feuil1
13.0,الخليدية,350,74,21.1,0,2,2,4.0,0,Feuil1
,,11831,2168,18.3,53,79,8,74.0,18,Feuil1
