annee,source,ressources_mm3_an,quantite_exploite_mm3_an,nbre_puits,nbre_puits_equipes,feuille
2024,Eaux souterrainnes,155.8,139.5,3761,3238,Feuil1
2024,Nappes phréatiques,24.38,28.1,3354,2946,Feuil1
2024,Nappes profondes,131.42000000000002,114.3,407,292,Feuil1
2024,Eaux de ruissellement,0.0,0.0,0,0,Feuil1
2024,Eaux usées,17.0,0.0,0,0,Feuil1
2024,Total,172.8,142.4,3761,3238,Feuil1
