delagation,annee,emblavure,superficie_ha,feuille
Medina Jedida,2025,Fourrages,,Feuil2
Mourouj,2025,Fourrages,,Feuil2
Hammam Lif,2025,Fourrages,,Feuil2
Hammam Chott,2025,Fourrages,,Feuil2
Bou Mhel,2025,Fourrages,,Feuil2
Ezzahra,2025,Fourrages,,Feuil2
Rades,2025,Fourrages,,Feuil2
Megrine,2025,Fourrages,,Feuil2
M'hamdia,2025,Fourrages,2497.0,Feuil2
Fouchana,2025,Fourrages,856.0,Feuil2
Mornag,2025,Fourrages,1845.0,Feuil2
Ben Arous,2024,Olives,,Feuil2
Medina Jedida,2024,Olives,,Feuil2
Mourouj,2024,Olives,,Feuil2
Hammam Lif,2024,Olives,,Feuil2
Hammam Chott,2024,Olives,,Feuil2
Bou Mhel,2024,Olives,135.0,Feuil2
Ezzahra,2024,Olives,,Feuil2
Rades,2024,Olives,,Feuil2
Megrine,2024,Olives,,Feuil2
M'hamdia,2024,Olives,625.0,Feuil2
Fouchana,2024,Olives,515.0,Feuil2
Mornag,2024,Olives,6329.0,Feuil2
Ben Arous,2025,Olives,,Feuil2
Medina Jedida,2025,Olives,,Feuil2
Mourouj,2025,Olives,,Feuil2
Hammam Lif,2025,Olives,,Feuil2
Hammam Chott,2025,Olives,,Feuil2
Bou Mhel,2025,Olives,135.0,Feuil2
Ezzahra,2025,Olives,,Feuil2
Rades,2025,Olives,,Feuil2
Megrine,2025,Olives,,Feuil2
M'hamdia,2025,Olives,625.0,Feuil2
Fouchana,2025,Olives,516.0,Feuil2
Mornag,2025,Olives,6329.0,Feuil2
