annee,delegation_fr,delegation_ar,nombre_groupenents_de_developpement_agricole,feuille
2021,Tozeur,تــوزر,22.0,Feuil1
2021,Dgueche,دقــاش,16.0,Feuil1
2021,Tamaghza,تمغـزة,8.0,Feuil1
2021,Nefta,نفطــة,11.0,Feuil1
2021,Hazoua,حـزوة,18.0,Feuil1
2021,Hammet El Djérid,حامة الجريد,9.0,Feuil1
2021,Total,المجموع,84.0,Feuil1
2022,Tozeur,تــوزر,,Feuil1
2022,Dgueche,دقــاش,,Feuil1
2022,Tamaghza,تمغـزة,,Feuil1
2022,Nefta,نفطــة,,Feuil1
2022,Hazoua,حـزوة,3.0,Feuil1
2022,Hammet El Djérid,حامة الجريد,,Feuil1
2022,Total,المجموع,3.0,Feuil1
2023,Tozeur,تــوزر,1.0,Feuil1
2023,Dgueche,دقــاش,,Feuil1
2023,Tamaghza,تمغـزة,2.0,Feuil1
2023,Nefta,نفطــة,1.0,Feuil1
2023,Hazoua,حـزوة,7.0,Feuil1
2023,Hammet El Djérid,حامة الجريد,,Feuil1
2023,Total,المجموع,11.0,Feuil1
2024,Tozeur,تــوزر,1.0,Feuil1
2024,Dgueche,دقــاش,,Feuil1
2024,Tamaghza,تمغـزة,2.0,Feuil1
2024,Nefta,نفطــة,1.0,Feuil1
2024,Hazoua,حـزوة,7.0,Feuil1
2024,Hammet El Djérid,حامة الجريد,,Feuil1
2024,Total,المجموع,11.0,Feuil1
