الرتبة_او_الصنف,عدد_الاعوان,feuille
مهندس عام,6,توزيع أعوان حسب الأصباف منوبة
مهندس رئيس,20,توزيع أعوان حسب الأصباف منوبة
مهندس أوّل,21,توزيع أعوان حسب الأصباف منوبة
مهندس أشغال,1,توزيع أعوان حسب الأصباف منوبة
تقني رئيس,20,توزيع أعوان حسب الأصباف منوبة
تقني أوّل,26,توزيع أعوان حسب الأصباف منوبة
تقني,24,توزيع أعوان حسب الأصباف منوبة
مساعد تقني,10,توزيع أعوان حسب الأصباف منوبة
عون تقني,11,توزيع أعوان حسب الأصباف منوبة
طبيب بيطري متفقّد مركزي,2,توزيع أعوان حسب الأصباف منوبة
طبيب بيطري صحي أوّل,6,توزيع أعوان حسب الأصباف منوبة
طبيب بيطري صحي,3,توزيع أعوان حسب الأصباف منوبة
متصرف رئيس,3,توزيع أعوان حسب الأصباف منوبة
متصرّف مستشار,1,توزيع أعوان حسب الأصباف منوبة
متصرف,2,توزيع أعوان حسب الأصباف منوبة
متصرف مساعد في التوثيق,1,توزيع أعوان حسب الأصباف منوبة
ملحق إدارة,13,توزيع أعوان حسب الأصباف منوبة
كاتب تصرّف,6,توزيع أعوان حسب الأصباف منوبة
مستكتب إدارة,8,توزيع أعوان حسب الأصباف منوبة
واضع برامج,1,توزيع أعوان حسب الأصباف منوبة
سلك العملة المترسمون والمتعاقدون (عملة الوحدة الأولى، عملة الوحدة الثانية، عملة الوحدة الثالثة),537,توزيع أعوان حسب الأصباف منوبة
سلك  عملة الحضائر,368,توزيع أعوان حسب الأصباف منوبة
