gouvernorat,formations_forestieres_et_arbores,autres_formations_forestieres,terres_incultes,feuille
Kasserine,132326,26717,20768.0,Feuil1
Siliana,82399,45963,11108.0,Feuil1
Le Kef,77728,38088,15690.0,Feuil1
Jendouba,98714,14964,6508.0,Feuil1
Bizerte,35658,55157,7912.0,Feuil1
Kairouan,36879,34773,21256.0,Feuil1
Beja,48117,32063,6943.0,Feuil1
Zaghouan,52575,25291,7603.0,Feuil1
Nabeul,42410,26664,4075.0,Feuil1
Sidi Bouzid,16820,5135,13602.0,Feuil1
Ben Arous,12920,5179,1327.0,Feuil1
Manouba,5708,6740,,Feuil1
Sousse,6320,3593,3042.0,Feuil1
Gafsa,4063,8063,,Feuil1
Sfax,4999,1516,4115.0,Feuil1
Gabes,3528,3625,,Feuil1
Mahdia,4488,421,1977.0,Feuil1
Ariana,1141,1522,837.0,Feuil1
Monastir,301,203,2059.0,Feuil1
Kébili,1846,313,2269.0,Feuil1
Médenine,1433,342,,Feuil1
Tataouine,606,19,,Feuil1
Tozeur,304,255,,Feuil1
Tunis,1702,182,1208.0,Feuil1
