district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,75703,24,1251,667,348,2266,351,18,21,Feuil1
M. Bourguiba,29621,7,553,342,156,1051,136,1,13,Feuil1
Jendouba,52244,34,1136,792,356,2284,305,46,17,Feuil1
Le Kef,36194,44,870,590,285,1745,56,11,10,Feuil1
Siliana,28661,40,701,436,257,1394,64,5,12,Feuil1
Beja,46288,50,946,755,326,2027,163,6,48,Feuil1
Nabeul,77638,15,2733,963,308,4004,1341,515,52,Feuil1
M. Temime,36316,20,659,334,202,1195,168,18,3,Feuil1
Grombalia,35657,15,1205,395,175,1775,265,5,13,Feuil1
Zaghouan,24232,8,577,331,264,1172,385,0,15,Feuil1
Sousse,100155,18,1811,1191,452,3454,606,77,63,Feuil1
H. Sousse,57097,12,783,420,245,1448,496,46,38,Feuil1
Moknine,54996,1,551,457,292,1300,742,1,4,Feuil1
Monastir,66687,4,1578,1062,395,3035,1184,52,20,Feuil1
Mahdia,77323,139,1693,848,458,2999,384,35,30,Feuil1
Kairouan,61539,23,1115,807,429,2351,188,7,9,Feuil1
Kasserine,38851,22,688,603,256,1547,157,9,8,Feuil1
Sfax,73442,1,2520,1067,864,4451,1109,36,35,Feuil1
Sfax Nord,66435,32,649,397,319,1365,595,0,35,Feuil1
Sfax Sud,53048,56,442,366,230,1038,493,6,46,Feuil1
Gafsa,58184,34,525,665,371,1561,78,14,4,Feuil1
Tozeur,22717,2,478,341,214,1033,46,54,11,Feuil1
Sidi Bouzid,31556,20,961,683,279,1923,102,4,21,Feuil1
Gabes,70793,104,951,939,514,2404,221,33,15,Feuil1
Kebili,27801,0,383,412,204,999,45,22,9,Feuil1
Medenine,50482,93,1092,785,334,2211,183,37,14,Feuil1
Jerba,39894,3,1811,396,328,2535,108,242,11,Feuil1
Tataouine,26309,43,322,413,238,973,59,14,2,Feuil1
Tunis,50480,6,5538,6818,421,12777,396,80,88,Feuil1
La Marsa,57957,1,2715,1352,319,4386,238,41,175,Feuil1
Bardo,60978,7,2354,369,141,2864,131,0,19,Feuil1
Tunis Sud,42789,1,904,340,238,1482,120,10,12,Feuil1
El Manar,31630,0,795,406,137,1338,19,0,75,Feuil1
Ariana,65026,11,1416,701,184,2301,454,0,92,Feuil1
Ben arous,63322,3,901,345,370,1616,412,0,60,Feuil1
Ezzahra,61198,9,1884,466,472,2822,462,8,55,Feuil1
El Omrane Supérieur,43912,5,1148,271,113,1532,230,0,3,Feuil1
Manouba,64356,37,1566,632,267,2465,449,0,30,Feuil1
