district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,83656,24,1380,741,350,2471,367,17,19,Feuil1
M. Bourguiba,32941,6,718,331,150,1199,151,1,13,Feuil1
Jendouba,58071,32,1226,801,358,2385,333,45,18,Feuil1
Le Kef,39379,44,916,600,293,1809,56,16,16,Feuil1
Siliana,31313,42,737,441,261,1439,78,4,15,Feuil1
Beja,49939,56,1064,776,340,2180,202,7,56,Feuil1
Nabeul,88268,15,3093,1142,308,4543,1418,515,68,Feuil1
M. Temime,40425,21,688,335,209,1232,175,21,10,Feuil1
Grombalia,39664,14,1223,408,183,1814,307,5,13,Feuil1
Zaghouan,26873,10,659,333,281,1273,443,0,12,Feuil1
Sousse,112625,18,2180,1251,486,3917,635,73,67,Feuil1
H. Sousse,65569,13,797,428,247,1472,512,45,38,Feuil1
Moknine,61769,0,554,466,306,1326,765,1,3,Feuil1
Monastir,74945,3,1764,1064,406,3234,1265,52,18,Feuil1
Mahdia,86547,76,1961,862,464,3287,416,38,20,Feuil1
Kairouan,68434,18,1254,895,472,2621,201,8,14,Feuil1
Kasserine,43469,19,777,642,272,1691,169,9,13,Feuil1
Sfax,79120,1,2482,1048,845,4375,1091,44,53,Feuil1
Sfax Nord,75043,38,809,402,282,1493,623,0,22,Feuil1
Sfax Sud,60478,60,485,383,250,1118,561,4,60,Feuil1
Gafsa,63300,38,588,677,367,1632,75,15,8,Feuil1
Tozeur,24755,3,525,351,236,1112,51,53,5,Feuil1
Sidi Bouzid,36150,23,1258,698,291,2247,110,3,21,Feuil1
Gabes,77883,86,1029,954,528,2511,238,30,21,Feuil1
Kebili,30648,0,447,427,213,1087,41,23,8,Feuil1
Medenine,58704,87,1445,797,389,2631,189,38,18,Feuil1
Jerba,46072,3,1934,420,333,2687,109,244,25,Feuil1
Tataouine,29542,63,339,420,270,1029,56,14,9,Feuil1
Tunis,53360,6,5870,7345,415,13630,389,82,93,Feuil1
La Marsa,71236,0,3299,1586,350,5235,236,40,265,Feuil1
Bardo,67795,8,2629,423,166,3218,152,0,31,Feuil1
Tunis Sud,44811,0,945,341,235,1521,125,10,12,Feuil1
El Manar,35364,0,875,405,153,1433,18,1,64,Feuil1
Ariana,75462,9,1572,750,212,2534,465,0,92,Feuil1
Ben arous,70560,4,1098,342,381,1821,741,0,83,Feuil1
Ezzahra,67400,6,2230,533,436,3199,498,7,58,Feuil1
El Omrane Supérieur,47414,6,1240,278,118,1636,236,0,5,Feuil1
Manouba,70825,45,1723,681,271,2675,453,0,38,Feuil1
