district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,97019,23,1514,789,364,2667,373,16,22,Feuil1
M. Bourguiba,38955,7,894,341,163,1398,159,1,12,Feuil1
Jendouba,68764,27,1404,824,346,2574,425,45,13,Feuil1
Le Kef,45427,49,987,603,301,1891,60,16,16,Feuil1
Siliana,36450,39,785,454,252,1491,94,4,9,Feuil1
Beja,57669,57,1240,766,358,2364,223,8,54,Feuil1
Nabeul,105529,15,3423,1238,322,4983,1436,497,64,Feuil1
M. Temime,47757,20,705,339,212,1256,164,22,18,Feuil1
Grombalia,48132,14,1234,415,184,1833,322,5,14,Feuil1
Zaghouan,31075,16,731,353,303,1387,470,2,11,Feuil1
Sousse,129413,19,2675,1259,515,4449,635,67,56,Feuil1
H. Sousse,80419,15,1030,442,243,1715,530,47,32,Feuil1
Moknine,72571,0,624,461,314,1399,813,1,5,Feuil1
Monastir,87829,3,2034,1105,409,3548,1450,52,27,Feuil1
Mahdia,105209,51,2388,854,459,3701,436,40,35,Feuil1
Kairouan,79183,18,1489,990,504,2983,235,7,15,Feuil1
Kasserine,51032,17,850,652,262,1764,176,9,10,Feuil1
Sfax,89438,1,2610,1061,842,4513,1109,44,43,Feuil1
Sfax Nord,92942,28,1100,392,294,1786,623,0,26,Feuil1
Sfax Sud,71371,61,493,418,282,1193,600,4,47,Feuil1
Gafsa,71253,27,556,684,350,1590,73,16,3,Feuil1
Tozeur,29334,1,603,348,255,1206,59,42,17,Feuil1
Sidi Bouzid,43530,23,2493,706,290,3489,104,2,20,Feuil1
Gabes,93722,61,1123,972,545,2640,257,25,28,Feuil1
Kebili,35777,0,636,449,291,1376,52,21,7,Feuil1
Medenine,72954,87,2068,839,426,3333,201,37,22,Feuil1
Jerba,57968,3,2335,419,348,3102,108,252,22,Feuil1
Tataouine,36521,77,414,420,247,1081,63,17,2,Feuil1
Tunis,56719,3,6275,8483,400,15158,379,75,70,Feuil1
La Marsa,88880,0,4058,2311,328,6697,240,43,194,Feuil1
Bardo,78159,6,2885,426,191,3502,163,0,39,Feuil1
Tunis Sud,47688,0,982,327,226,1535,122,9,26,Feuil1
El Manar,40778,0,966,429,180,1575,19,3,73,Feuil1
Ariana,97707,11,1729,798,260,2787,468,0,119,Feuil1
Ben arous,83726,5,1735,361,235,2331,866,0,98,Feuil1
Ezzahra,81644,8,2851,565,451,3867,550,5,58,Feuil1
El Omrane Supérieur,55481,5,1517,284,121,1922,253,0,4,Feuil1
Manouba,84371,50,2122,782,319,3223,475,0,44,Feuil1
