district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,94773,26,1491,789,357,2637,373,16,15,Feuil1
M. Bourguiba,38161,7,846,341,159,1346,158,1,12,Feuil1
Jendouba,66284,30,1356,816,346,2518,406,48,13,Feuil1
Le Kef,44243,45,980,603,292,1875,58,17,15,Feuil1
Siliana,35249,42,780,447,263,1490,92,5,10,Feuil1
Beja,56284,55,1225,777,353,2355,226,7,56,Feuil1
Nabeul,102491,16,3345,1241,314,4900,1429,499,64,Feuil1
M. Temime,46268,20,693,339,210,1242,165,21,17,Feuil1
Grombalia,46664,14,1244,415,184,1843,325,5,14,Feuil1
Zaghouan,29884,13,702,352,302,1356,464,2,14,Feuil1
Sousse,125587,20,2607,1249,520,4376,629,67,63,Feuil1
H. Sousse,77594,14,971,434,245,1650,549,45,39,Feuil1
Moknine,70680,0,587,464,311,1362,784,1,6,Feuil1
Monastir,85203,3,2016,1106,404,3526,1406,52,30,Feuil1
Mahdia,102585,55,2307,856,456,3619,430,40,31,Feuil1
Kairouan,75833,20,1411,941,499,2851,218,7,14,Feuil1
Kasserine,48686,19,818,647,274,1739,171,8,10,Feuil1
Sfax,87143,1,2550,1066,854,4470,1102,45,44,Feuil1
Sfax Nord,89938,33,1022,396,287,1705,628,0,23,Feuil1
Sfax Sud,69768,59,505,416,283,1204,611,4,49,Feuil1
Gafsa,70198,29,566,697,360,1623,75,15,5,Feuil1
Tozeur,28444,3,588,345,248,1181,60,44,10,Feuil1
Sidi Bouzid,42333,26,2392,706,293,3391,107,2,23,Feuil1
Gabes,90387,79,1093,961,543,2597,256,29,24,Feuil1
Kebili,34457,0,521,423,223,1167,47,21,12,Feuil1
Medenine,69460,93,1972,836,428,3236,205,38,20,Feuil1
Jerba,54983,3,2246,420,343,3009,106,251,19,Feuil1
Tataouine,34830,81,412,421,254,1087,63,17,5,Feuil1
Tunis,56285,3,6214,8242,402,14858,383,76,89,Feuil1
La Marsa,86108,0,3991,2192,342,6525,247,44,192,Feuil1
Bardo,76225,7,2830,416,176,3422,165,0,38,Feuil1
Tunis Sud,47312,0,1003,328,228,1559,124,9,22,Feuil1
El Manar,39567,0,947,427,192,1566,18,2,72,Feuil1
Ariana,93506,9,1729,797,251,2777,472,0,117,Feuil1
Ben arous,81201,5,1644,364,238,2246,856,0,92,Feuil1
Ezzahra,78690,8,2723,567,450,3740,536,6,67,Feuil1
El Omrane Supérieur,53738,5,1485,279,116,1880,248,0,3,Feuil1
Manouba,81413,49,2043,771,309,3123,476,0,44,Feuil1
