district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,100062,22,1543,784,369,2696,368,16,21,Feuil1
M. Bourguiba,39938,9,961,335,172,1468,159,1,11,Feuil1
Jendouba,70980,30,1454,823,349,2626,429,44,16,Feuil1
Le Kef,46285,48,1015,602,300,1917,62,16,23,Feuil1
Siliana,37355,41,815,459,253,1527,123,4,13,Feuil1
Beja,58932,61,1263,772,357,2392,232,8,50,Feuil1
Nabeul,108586,17,3509,1267,325,5101,1422,491,59,Feuil1
M. Temime,49276,19,707,337,218,1262,163,26,20,Feuil1
Grombalia,49528,13,1231,416,181,1828,326,5,10,Feuil1
Zaghouan,32085,16,763,352,309,1424,476,2,14,Feuil1
Sousse,134258,22,2728,1238,522,4488,628,67,60,Feuil1
H. Sousse,82573,14,1092,440,243,1775,538,45,32,Feuil1
Moknine,74647,0,646,464,320,1430,838,1,5,Feuil1
Monastir,90098,3,2060,1116,407,3583,1479,49,29,Feuil1
Mahdia,107546,49,2467,855,454,3776,426,40,41,Feuil1
Kairouan,81380,18,1521,1013,507,3041,224,7,27,Feuil1
Kasserine,54286,11,915,656,266,1837,178,10,11,Feuil1
Sfax,91582,1,2638,1031,821,4490,1097,44,46,Feuil1
Sfax Nord,96571,27,1155,393,290,1838,620,0,26,Feuil1
Sfax Sud,74838,52,520,426,287,1233,593,3,41,Feuil1
Gafsa,73858,26,563,684,349,1596,73,16,3,Feuil1
Tozeur,30074,1,626,350,267,1243,60,41,10,Feuil1
Sidi Bouzid,44390,23,2690,699,284,3673,99,3,24,Feuil1
Gabes,96929,58,1162,1012,554,2728,262,28,26,Feuil1
Kebili,36786,0,661,449,294,1404,54,20,6,Feuil1
Medenine,75038,87,2149,848,433,3430,200,37,24,Feuil1
Jerba,59405,3,2352,422,351,3125,106,243,22,Feuil1
Tataouine,37414,79,441,419,247,1107,67,17,2,Feuil1
Tunis,57239,2,6248,8509,406,15163,374,76,76,Feuil1
La Marsa,90758,0,4224,2440,326,6990,236,42,171,Feuil1
Bardo,79797,6,2944,451,208,3603,166,0,37,Feuil1
Tunis Sud,47949,0,985,321,224,1530,121,9,24,Feuil1
El Manar,42227,0,955,429,151,1535,19,3,68,Feuil1
Ariana,103705,15,1730,796,270,2796,471,0,124,Feuil1
Ben arous,86789,5,1883,360,232,2475,885,0,111,Feuil1
Ezzahra,83988,9,2909,561,451,3921,560,4,60,Feuil1
El Omrane Supérieur,56761,3,1554,281,125,1960,253,0,4,Feuil1
Manouba,86652,46,2161,810,319,3290,457,0,44,Feuil1
