district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,86277,24,1443,746,350,2539,376,17,16,Feuil1
M. Bourguiba,35618,6,759,338,152,1249,153,1,14,Feuil1
Jendouba,61174,35,1269,808,365,2442,344,44,15,Feuil1
Le Kef,40581,45,925,598,291,1814,60,17,10,Feuil1
Siliana,31945,41,746,443,256,1445,78,4,18,Feuil1
Beja,51006,59,1072,765,342,2179,212,7,60,Feuil1
Nabeul,91536,15,3138,1206,306,4650,1427,517,68,Feuil1
M. Temime,41821,20,686,335,204,1225,175,20,11,Feuil1
Grombalia,41110,14,1219,408,179,1806,307,5,13,Feuil1
Zaghouan,27709,11,670,337,285,1292,456,0,17,Feuil1
Sousse,115732,19,2300,1248,495,4043,633,72,68,Feuil1
H. Sousse,69017,15,793,427,242,1462,497,45,39,Feuil1
Moknine,63679,0,564,465,308,1337,758,1,2,Feuil1
Monastir,77316,3,1853,1067,407,3327,1289,52,16,Feuil1
Mahdia,89794,66,1997,857,460,3314,416,38,22,Feuil1
Kairouan,69314,19,1268,906,472,2646,207,8,18,Feuil1
Kasserine,44579,19,786,641,269,1696,170,9,8,Feuil1
Sfax,81165,1,2528,1054,856,4438,1114,44,43,Feuil1
Sfax Nord,78359,37,866,400,283,1549,613,0,24,Feuil1
Sfax Sud,62975,60,500,391,260,1151,576,5,55,Feuil1
Gafsa,64633,34,581,677,362,1620,75,14,8,Feuil1
Tozeur,25579,3,537,346,239,1122,50,49,4,Feuil1
Sidi Bouzid,37528,24,1457,697,290,2444,109,3,21,Feuil1
Gabes,81875,88,1074,948,532,2554,245,30,20,Feuil1
Kebili,31294,0,459,427,217,1103,44,22,6,Feuil1
Medenine,61422,89,1590,795,412,2797,191,39,18,Feuil1
Jerba,48118,3,2034,418,338,2790,113,244,24,Feuil1
Tataouine,30819,71,357,418,263,1038,57,17,7,Feuil1
Tunis,54182,6,5937,7625,419,13981,393,82,94,Feuil1
La Marsa,76121,0,3527,1732,351,5610,235,41,234,Feuil1
Bardo,70371,7,2666,410,168,3244,158,0,32,Feuil1
Tunis Sud,45407,0,964,339,231,1534,120,10,14,Feuil1
El Manar,36922,0,877,402,158,1437,18,1,54,Feuil1
Ariana,79618,9,1621,771,237,2629,465,0,97,Feuil1
Ben arous,72081,3,1153,343,365,1861,777,0,97,Feuil1
Ezzahra,70485,6,2352,533,439,3324,506,8,59,Feuil1
El Omrane Supérieur,49080,6,1316,278,124,1718,240,0,7,Feuil1
Manouba,73005,50,1810,684,288,2782,475,0,40,Feuil1
