district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,78529,24,1314,678,340,2332,362,18,18,Feuil1
M. Bourguiba,30696,6,579,329,157,1065,142,1,16,Feuil1
Jendouba,54612,33,1158,802,352,2312,310,46,19,Feuil1
Le Kef,36980,40,882,586,284,1752,52,10,14,Feuil1
Siliana,29895,41,713,437,263,1413,68,5,13,Feuil1
Beja,47601,49,989,770,329,2088,173,6,57,Feuil1
Nabeul,81066,15,2918,1046,314,4278,1378,526,49,Feuil1
M. Temime,37835,20,682,339,201,1222,173,18,3,Feuil1
Grombalia,36939,16,1205,397,174,1776,277,5,10,Feuil1
Zaghouan,25086,8,603,335,269,1207,398,0,21,Feuil1
Sousse,104380,18,1911,1219,464,3594,607,76,60,Feuil1
H. Sousse,60008,12,783,419,249,1451,498,45,32,Feuil1
Moknine,57403,1,552,458,298,1308,751,1,5,Feuil1
Monastir,69883,2,1659,1080,400,3139,1219,52,18,Feuil1
Mahdia,79919,113,1791,857,463,3111,394,60,29,Feuil1
Kairouan,63658,24,1138,816,443,2397,187,7,14,Feuil1
Kasserine,40424,21,697,616,260,1573,165,9,9,Feuil1
Sfax,75281,1,2537,1063,848,4448,1119,37,41,Feuil1
Sfax Nord,70194,38,713,401,294,1408,611,0,25,Feuil1
Sfax Sud,55722,61,451,366,235,1052,512,6,51,Feuil1
Gafsa,59667,36,544,671,370,1585,75,14,4,Feuil1
Tozeur,23284,2,487,348,221,1056,47,53,5,Feuil1
Sidi Bouzid,33632,20,1049,688,288,2025,107,3,25,Feuil1
Gabes,72558,92,968,943,515,2426,216,32,18,Feuil1
Kebili,29079,0,410,430,208,1048,43,22,8,Feuil1
Medenine,53538,92,1169,801,354,2324,195,38,13,Feuil1
Jerba,41959,3,1852,405,328,2585,107,241,11,Feuil1
Tataouine,27480,59,326,416,240,982,58,14,5,Feuil1
Tunis,51792,6,5613,6898,414,12925,381,80,96,Feuil1
La Marsa,62110,1,2921,1423,330,4674,237,42,216,Feuil1
Bardo,63860,7,2441,401,147,2989,138,0,22,Feuil1
Tunis Sud,43387,0,923,348,239,1510,119,10,19,Feuil1
El Manar,32874,0,825,406,143,1374,18,1,68,Feuil1
Ariana,68702,12,1484,708,182,2374,460,0,85,Feuil1
Ben arous,65596,4,956,345,379,1680,494,0,55,Feuil1
Ezzahra,63029,7,1935,475,471,2881,493,8,58,Feuil1
El Omrane Supérieur,45079,6,1183,274,112,1569,233,0,4,Feuil1
Manouba,66655,41,1617,625,258,2500,444,0,27,Feuil1
