district,domestique_branche,domestique_non_branche,commerce,administration,municipal,industrie,tourisme,divers,feuille
Bizerte,105408,20,1658,782,336,369,16,47,Feuil1
M. Bourguiba,42456,12,1088,337,173,143,1,13,Feuil1
Jendouba,74809,37,1598,834,347,436,43,38,Feuil1
Le Kef,47748,47,1035,600,282,53,15,19,Feuil1
Siliana,39376,42,837,460,241,134,6,20,Feuil1
Beja,62680,61,1283,773,361,219,8,50,Feuil1
Nabeul,113055,16,3673,1346,314,1411,487,68,Feuil1
M. Temime,52463,18,718,344,216,162,26,18,Feuil1
Grombalia,52129,12,1231,424,174,325,5,9,Feuil1
Zaghouan,34083,17,801,349,313,457,1,13,Feuil1
Sousse,140071,23,2922,1218,533,642,68,68,Feuil1
H. Sousse,86919,12,1262,439,242,534,44,30,Feuil1
Moknine,78027,0,722,458,325,915,1,4,Feuil1
Monastir,93319,3,2102,1099,390,1495,47,21,Feuil1
Mahdia,112901,46,2733,858,447,413,41,32,Feuil1
Kairouan,87936,18,1709,1061,507,226,6,29,Feuil1
Kasserine,58093,11,982,650,226,170,10,22,Feuil1
Sfax,93883,1,2782,1031,723,1143,51,46,Feuil1
Sfax Nord,100385,25,1196,381,286,605,0,29,Feuil1
Sfax Sud,78716,49,533,419,271,549,3,46,Feuil1
Gafsa,77755,20,594,673,333,70,14,3,Feuil1
Tozeur,31748,1,633,358,290,83,38,10,Feuil1
Sidi Bouzid,47379,14,2864,689,262,91,2,22,Feuil1
Gabes,101614,49,1204,975,539,261,28,22,Feuil1
Kebili,38776,0,708,448,297,55,19,7,Feuil1
Medenine,79109,89,2353,870,451,196,36,29,Feuil1
Jerba,62742,3,2442,428,358,106,248,22,Feuil1
Tataouine,39067,82,481,417,218,62,17,8,Feuil1
Tunis,57764,2,6315,8795,412,371,74,71,Feuil1
La Marsa,95255,0,4479,2593,340,251,45,151,Feuil1
Bardo,82092,6,2966,465,212,181,0,42,Feuil1
Tunis Sud,48132,0,983,314,229,120,8,22,Feuil1
El Manar,43024,0,960,427,157,20,2,46,Feuil1
Ariana,110453,15,1693,763,260,459,0,121,Feuil1
Ben arous,90168,4,2107,351,225,710,0,88,Feuil1
Ezzahra,88150,7,3119,548,458,571,3,72,Feuil1
El Omrane Supérieur,57883,2,1593,271,133,256,0,3,Feuil1
Manouba,90384,50,2288,822,326,474,0,47,Feuil1
