district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,88480,25,1443,770,353,2566,372,15,17,Feuil1
M. Bourguiba,36496,7,779,342,156,1277,151,1,12,Feuil1
Jendouba,51839,33,1072,631,295,1998,299,39,17,Feuil1
Le Kef,41942,44,928,593,293,1814,58,17,14,Feuil1
Siliana,32822,41,747,443,257,1447,81,4,15,Feuil1
Beja,52659,56,1116,770,348,2234,216,7,60,Feuil1
Nabeul,95513,15,3227,1210,309,4746,1434,514,70,Feuil1
M. Temime,43363,19,695,337,206,1238,171,20,9,Feuil1
Grombalia,42791,15,1236,412,178,1826,321,5,12,Feuil1
Zaghouan,28787,10,683,333,293,1309,457,0,15,Feuil1
Sousse,118792,21,2408,1250,498,4156,637,70,61,Feuil1
H. Sousse,72928,15,829,431,239,1499,529,45,42,Feuil1
Moknine,66009,0,568,466,309,1343,765,1,3,Feuil1
Monastir,80173,3,1899,1093,403,3395,1315,52,22,Feuil1
Mahdia,94559,60,2061,857,454,3372,421,39,28,Feuil1
Kairouan,71914,20,1325,915,482,2722,209,7,16,Feuil1
Kasserine,45715,19,776,638,271,1685,166,8,6,Feuil1
Sfax,83356,1,2527,1052,852,4431,1108,45,42,Feuil1
Sfax Nord,82366,37,924,395,288,1607,613,0,23,Feuil1
Sfax Sud,66037,62,506,387,266,1159,596,5,51,Feuil1
Gafsa,66535,32,564,675,359,1598,70,14,6,Feuil1
Tozeur,26672,3,539,338,240,1117,51,48,4,Feuil1
Sidi Bouzid,39259,25,1716,711,291,2718,113,3,23,Feuil1
Gabes,84198,81,1061,960,538,2559,251,27,21,Feuil1
Kebili,32288,0,486,423,220,1129,46,22,7,Feuil1
Medenine,64500,92,1740,817,418,2975,201,39,17,Feuil1
Jerba,51094,3,2169,423,343,2935,111,246,21,Feuil1
Tataouine,32253,79,384,416,264,1064,62,16,8,Feuil1
Tunis,54881,6,6016,7767,422,14205,383,78,87,Feuil1
La Marsa,79161,0,3706,1971,359,6036,244,41,225,Feuil1
Bardo,72173,7,2717,404,172,3293,160,0,39,Feuil1
Tunis Sud,45984,0,976,334,230,1540,118,9,18,Feuil1
El Manar,37672,0,890,406,175,1471,18,1,47,Feuil1
Ariana,83933,9,1650,784,229,2663,468,0,104,Feuil1
Ben arous,74848,3,1239,334,361,1934,804,0,100,Feuil1
Ezzahra,73781,6,2529,533,444,3506,517,7,64,Feuil1
El Omrane Supérieur,50298,6,1382,282,116,1780,243,0,5,Feuil1
Manouba,76652,48,1908,733,307,2948,479,0,40,Feuil1
