district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,91621,25,1459,777,354,2590,373,16,18,Feuil1
M. Bourguiba,37349,7,798,338,159,1295,149,1,12,Feuil1
Jendouba,76914,31,1574,999,415,2988,418,65,15,Feuil1
Le Kef,42825,43,947,600,293,1840,58,17,7,Feuil1
Siliana,33923,42,762,438,260,1460,84,4,15,Feuil1
Beja,54735,55,1166,773,350,2289,217,7,60,Feuil1
Nabeul,99690,15,3292,1243,313,4848,1441,513,65,Feuil1
M. Temime,45092,18,695,339,206,1240,168,20,15,Feuil1
Grombalia,44597,14,1250,412,184,1846,321,5,11,Feuil1
Zaghouan,29130,10,672,339,292,1303,462,0,14,Feuil1
Sousse,121868,20,2478,1256,516,4250,637,68,55,Feuil1
H. Sousse,75646,13,926,432,240,1598,540,44,40,Feuil1
Moknine,68307,0,569,464,313,1346,765,1,7,Feuil1
Monastir,82667,3,1989,1103,402,3494,1366,52,25,Feuil1
Mahdia,99420,54,2218,859,451,3528,423,40,32,Feuil1
Kairouan,73611,21,1349,924,492,2765,209,7,18,Feuil1
Kasserine,46836,19,789,640,272,1701,168,7,9,Feuil1
Sfax,85232,1,2531,1059,851,4441,1100,45,45,Feuil1
Sfax Nord,85467,35,943,392,290,1625,615,0,25,Feuil1
Sfax Sud,67992,59,516,391,267,1174,601,4,51,Feuil1
Gafsa,68661,29,556,677,363,1596,66,16,8,Feuil1
Tozeur,27620,3,574,343,244,1161,56,47,7,Feuil1
Sidi Bouzid,40585,25,1976,710,292,2978,111,2,24,Feuil1
Gabes,87768,80,1076,963,543,2582,264,29,21,Feuil1
Kebili,33638,0,510,423,222,1155,48,21,11,Feuil1
Medenine,67424,92,1860,827,426,3113,201,38,20,Feuil1
Jerba,53140,3,2219,423,344,2986,108,246,21,Feuil1
Tataouine,33746,86,404,419,258,1081,63,16,6,Feuil1
Tunis,55397,4,6034,7991,409,14434,381,76,83,Feuil1
La Marsa,82051,0,3809,2076,347,6232,244,39,209,Feuil1
Bardo,73693,7,2768,406,176,3350,157,0,35,Feuil1
Tunis Sud,46734,0,995,334,232,1561,124,9,21,Feuil1
El Manar,38628,0,909,408,180,1497,18,1,60,Feuil1
Ariana,89134,9,1702,793,253,2748,472,0,114,Feuil1
Ben arous,76212,5,1384,346,209,1939,805,0,96,Feuil1
Ezzahra,76302,7,2620,546,444,3610,536,7,65,Feuil1
El Omrane Supérieur,51984,5,1438,281,120,1839,242,0,4,Feuil1
Manouba,79054,46,1975,758,306,3039,478,0,42,Feuil1
