district,domestique_branche,domestique_non_branche,commerce,administration,municipal,industrie,tourisme,divers,feuille
Bizerte,106939,19,1666,782,344,373,16,53,Feuil1
M. Bourguiba,43306,12,1100,337,176,145,1,13,Feuil1
Jendouba,76264,37,1626,833,347,438,43,48,Feuil1
Le Kef,48872,46,1099,601,287,60,16,25,Feuil1
Siliana,40146,44,875,458,245,138,6,26,Feuil1
Beja,63926,63,1309,774,359,219,8,53,Feuil1
Nabeul,115206,16,3746,1348,315,1403,474,68,Feuil1
M. Temime,53745,18,775,344,220,164,26,18,Feuil1
Grombalia,53476,12,1224,431,179,322,5,10,Feuil1
Zaghouan,34900,17,831,355,327,464,1,12,Feuil1
Sousse,141639,22,2950,1206,528,616,68,71,Feuil1
H. Sousse,89095,12,1331,438,239,538,44,31,Feuil1
Moknine,79218,0,743,462,327,922,1,6,Feuil1
Monastir,96370,2,2137,1112,394,1529,46,26,Feuil1
Mahdia,115066,47,2828,860,450,416,41,35,Feuil1
Kairouan,88185,18,1712,1062,509,224,6,28,Feuil1
Kasserine,59147,11,1027,647,230,168,10,23,Feuil1
Sfax,93697,1,2844,1030,702,1107,51,38,Feuil1
Sfax Nord,102148,25,1228,381,285,600,0,28,Feuil1
Sfax Sud,79294,48,524,415,258,536,3,42,Feuil1
Gafsa,78816,20,603,671,332,71,14,3,Feuil1
Tozeur,32339,1,659,359,296,96,40,9,Feuil1
Sidi Bouzid,48542,15,2957,692,269,95,2,26,Feuil1
Gabes,103183,49,1245,971,533,257,28,22,Feuil1
Kebili,39723,0,713,449,295,55,19,7,Feuil1
Medenine,80457,89,2433,871,456,192,35,29,Feuil1
Jerba,63997,3,2482,431,360,104,248,21,Feuil1
Tataouine,40134,80,492,415,227,63,17,12,Feuil1
Tunis,58605,2,6452,9148,413,367,78,85,Feuil1
La Marsa,97664,0,4569,2690,347,307,48,163,Feuil1
Bardo,84000,6,3092,477,213,188,0,45,Feuil1
Tunis Sud,48338,0,980,313,224,119,8,28,Feuil1
El Manar,43815,0,1003,427,165,19,39,45,Feuil1
Ariana,114551,14,1709,782,271,457,0,132,Feuil1
Ben arous,91229,4,2135,352,235,715,0,85,Feuil1
Ezzahra,88571,6,3173,550,456,571,4,70,Feuil1
El Omrane Supérieur,58875,2,1620,271,134,257,0,3,Feuil1
Manouba,91422,49,2308,833,337,467,0,49,Feuil1
TOTAL,2844900,810,70200,34578,12284,14782,1446,1488,Feuil1
