delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,amenagement_des_reseaux_d_adduction_d_eaux_potables_aep,nb_des_beneficiaires_des_reseaux_aep,nb_des_citernes_individuelles_creees,feuille
قبلاط,قرام,6.8,150,0.0,0,0,0,4,Feuil1
قبلاط,قمرتي,5.7,70,0.0,0,0,0,0,Feuil1
قبلاط,بئر العش,6.2,140,0.0,0,0,0,6,Feuil1
قبلاط,شيخ الوديان,4.8,80,0.0,0,0,0,4,Feuil1
قبلاط,خشاب,6.4,120,0.0,0,2,200,5,Feuil1
قبلاط,خنيقة الدهان,4.3,80,0.0,0,0,0,8,Feuil1
تستور,زلدو,2.0,60,14.1,378,0,0,0,Feuil1
تستور,مزوغة,0.0,0,8.0,320,1,410,0,Feuil1
عمدون,بني مالك,0.0,0,2.1,95,0,0,0,Feuil1
عمدون,الفرايجية,0.0,0,6.0,345,0,0,6,Feuil1
عمدون,المجالس,0.0,0,2.4,120,0,0,0,Feuil1
عمدون,الحمراء,0.0,0,4.0,265,0,0,0,Feuil1
عمدون,الجوزة,0.0,0,15.7,555,0,0,0,Feuil1
عمدون,غزية,0.0,0,5.0,580,0,0,0,Feuil1
عمدون,زهرة مدين  الجنوبيّة,0.0,0,0.0,0,0,0,0,Feuil1
تيبار,دجبة,0.0,0,13.4,370,0,0,0,Feuil1
تيبار,عين الدفالي,0.0,0,11.8,360,0,0,27,Feuil1
نفزة,فطناسة,0.0,0,8.5,140,0,0,3,Feuil1
نفزة,وادي المعدن,0.0,0,9.0,335,0,0,2,Feuil1
نفزة,الجميلة,0.0,0,8.0,175,0,0,3,Feuil1
نفزة,الطبابة,0.0,0,3.5,80,1,380,4,Feuil1
نفزة,بوزنة,0.0,0,4.5,135,0,0,0,Feuil1
نفزة,زاقة,0.0,0,4.5,130,0,0,1,Feuil1
نفزة,الظهيرات,0.0,0,11.0,120,0,0,3,Feuil1
نفزة,غياضة,0.0,0,2.2,125,0,0,0,Feuil1
نفزة,نفزة الشرقية,0.0,0,1.5,60,0,0,0,Feuil1
باجة الجنوبية,سيدي إسماعيل,0.0,0,6.3,260,0,0,0,Feuil1
باجة الجنوبية,المخشبية,0.0,0,10.0,180,0,0,0,Feuil1
باجة الجنوبية,مستوتة,0.0,0,5.5,200,0,0,0,Feuil1
تبرسق,ريحانة,0.0,0,13.0,360,0,0,0,Feuil1
تبرسق,بئر التوتة,5.7,165,0.0,0,1,206,3,Feuil1
تبرسق,عين مليتي,7.5,160,0.0,0,0,0,3,Feuil1
تبرسق,عين الحمام,0.0,0,7.0,260,0,0,0,Feuil1
مجاز الباب,توكابر,0.0,0,5.2,270,0,0,0,Feuil1
مجاز الباب,شواش,0.0,0,3.7,320,0,0,0,Feuil1
مجاز الباب,حيدوس,4.2,130,0.0,0,0,0,0,Feuil1
