annee,exportations_bio_en_1000_tonnes,exportations_bio_en_millions_de_dinars,feuille
2011,16.7,89.0,Feuil1
2012,,,Feuil1
2013,21.0,116.0,Feuil1
2014,18.4,107.0,Feuil1
2015,48.5,343.0,Feuil1
2016,36.6,300.0,Feuil1
2017,40.0,430.0,Feuil1
2018,60.0,677.0,Feuil1
2019,61.0,587.0,Feuil1
2020,85.5,687.5,Feuil1
2021,96.2,642.0,Feuil1
2022,104.0,691.0,Feuil1
2023,66.315,1144.0,Feuil1
2024,51.5,1127.0,Feuil1
