delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cordon_en_pierres_seches_ha,cuvettes_pour_arboriculture_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,remembrement_des_terres_en_sec_ha,feuille
نبر,بهرة,0.0,121.62,7.5,172.9,258.0,458.46,1660,Feuil1
نبر,الشتاتلة,0.0,40.3,0.0,92.33,124.0,203.55,0,Feuil1
نبر,تل الغزلان,0.0,,0.0,68.86,174.0,512.94,0,Feuil1
نبر,سيدي مدين,0.0,94.55,0.0,,145.0,266.99,0,Feuil1
الطويرف,الطويرف,0.0,45.9,12.3,30.4,131.0,110.95,0,Feuil1
الطويرف,ولجة السدرة,0.0,9.4,63.59,42.43,305.0,339.9,0,Feuil1
الطويرف,الاذياب,0.0,63.27,0.0,55.16,157.0,486.95,0,Feuil1
الطويرف,ملالة,0.0,37.08,0.0,56.51,180.5,254.53,1400,Feuil1
الساقية,عين الكرمة,0.0,9.72,0.0,0.0,0.0,208.93,0,Feuil1
الساقية,فرشان,0.0,36.73,0.0,45.46,411.1,646.89,0,Feuil1
الساقية,جرادو,0.0,50.35,41.0,0.0,72.0,323.02,0,Feuil1
الساقية,سيدي رابح,0.0,18.92,0.0,24.0,,375.25,0,Feuil1
الكاف الشرقية,وادي السوني الجنوبي,0.0,42.09,0.0,83.49,134.0,230.32,0,Feuil1
الكاف الشرقية,الزعفران,0.0,11.5,0.0,,31.0,263.32,0,Feuil1
الكاف الشرقية,وادي السوني الشمالي,0.0,,87.65,88.1,194.5,416.77,670,Feuil1
الكاف الغربية,وادي الرمل الشمالي,0.0,54.03,24.43,35.43,55.5,192.94,0,Feuil1
الكاف الغربية,وادي الرمل الجنوبي,0.0,,0.0,87.65,33.0,,0,Feuil1
السرس,السرس الشمالي,10.65,10.63,0.0,47.07,128.0,183.26,0,Feuil1
السرس,الاربص,0.0,20.75,0.0,34.25,116.0,107.75,0,Feuil1
السرس,بوصليعة,0.0,58.48,0.0,90.4,43.0,291.55,0,Feuil1
