annee_programme,nom_ouvrage,secteur,delegation,ha_superficie_bassin_versant,nombre_unites_ouvrages,nappe_aquifere,feuille
1990,موريج,الشفار,المحرس,1100,11,الشفار,Feuil1
1991,شرشار,الشرشار,عقارب,4500,10,سيدي عبيد - الحاجب,Feuil1
1992,شرشار (تواصل وانتهاء الأشغال),شرشار (تواصل وانتهاء الأشغال),عقارب,4500,11,سيدي عبيد - الحاجب,Feuil1
1993,معزة,معزة,جبناينة,1800,7,الحزق,Feuil1
1993,الساكات,الساكات,جبناينة,1300,5,الحزق,Feuil1
1994,واد مسلم,خميلة,العامرة,2000,1,جبنيانة,Feuil1
1995,كتاتنة,كتاتنة,العامرة,3150,8,العامرة,Feuil1
1996,أم صالح,أم صالح,الحنشة,1700,12,الحنشة,Feuil1
1996,زابس,الشفار,المحرس,700,7,المحرس,Feuil1
1997,الشفار,الشفار,المحرس,800,10,المحرس,Feuil1
1998,المغذية,الصخيرة,الصخيرة,2000,11,بئر علي,Feuil1
1999,بغانش,عقارب,عقارب,1800,11,الحاجب,Feuil1
2000,بغانش,عقارب,عقارب,1800,1,الحاجب,Feuil1
2001,مسعودة,عقارب,عقارب,5000,1,عقارب,Feuil1
2002,جاني طويل,قرقور,عقارب,1000,14,الشفار,Feuil1
2003,لحمر,عقارب,عقارب,700,10,صفاقس,Feuil1
2006,موريج,الشفار,المحرس,1100,8,الشفار,Feuil1
2008,الزير,المواساة,المحرس,10000,11,الشفار,Feuil1
2009,الزير,المسدة,المحرس,10000,10,الشفار,Feuil1
2012,جهف,الشعال,بئرعلي,500,6,صفاقس,Feuil1
2016,واد مرجين,عقارب,عقارب,3500,9,عقارب-صفاقس,Feuil1
