delegation,secteur,insemination_artificielle_2017_nb,insemination_artificielle_2018_nb,feuille
سجنان,المعالية,130,59,Feuil1
سجنان,سجنان,67,36,Feuil1
سجنان,المشارقة,108,38,Feuil1
سجنان,العبابسة,57,49,Feuil1
سجنان,السحابنة,97,46,Feuil1
سجنان,امادن,0,0,Feuil1
سجنان,سيدي مشرق,0,0,Feuil1
سجنان,الحشاشنة,0,0,Feuil1
غزالة,اولاد المي,0,12,Feuil1
غزالة,العرب,57,49,Feuil1
جومين,الطواجنية,101,83,Feuil1
جومين,بازينة,103,72,Feuil1
جومين,اولاد غانم,108,72,Feuil1
جومين,الشنانة,228,72,Feuil1
جومين,رواحة,96,72,Feuil1
