unnamed_0,num,اسم_الشركة,الموقع,سنة_التركيز,المساحة_هك,feuille
قبل الهيكلة: 01,1.0,الشويقي,طبربة,1991.0,642.0,شركات إحياء وتنمية فلاحية ناشطة
بعــــــــد الهيكلة عددها : 17,2.0,بساتين برج التومي,البطان,1993.0,622.0,شركات إحياء وتنمية فلاحية ناشطة
,3.0,حدائق مجردة,البطان,1993.0,298.0,شركات إحياء وتنمية فلاحية ناشطة
,4.0,الحفصية,المرناقية,1993.0,514.0,شركات إحياء وتنمية فلاحية ناشطة
,5.0,البركة,البطان,1995.0,642.0,شركات إحياء وتنمية فلاحية ناشطة
,6.0,كنزة,طبربة,1995.0,568.0,شركات إحياء وتنمية فلاحية ناشطة
,7.0,السلامة,المرناقية,1995.0,655.0,شركات إحياء وتنمية فلاحية ناشطة
,8.0,بئر الطويل,برج العامري,1995.0,527.0,شركات إحياء وتنمية فلاحية ناشطة
,9.0,زينة,وادي الليل,1995.0,160.0,شركات إحياء وتنمية فلاحية ناشطة
,10.0,الدريجات,برج العامري,2000.0,412.0,شركات إحياء وتنمية فلاحية ناشطة
,11.0,ضيعة بجاوة,وادي الليل,2004.0,220.0,شركات إحياء وتنمية فلاحية ناشطة
,12.0,فيترو بلان تونيزيا,المهرين,2005.0,58.0,شركات إحياء وتنمية فلاحية ناشطة
,13.0,شركة إيـــو,البطان,2005.0,686.0,شركات إحياء وتنمية فلاحية ناشطة
,14.0,برج النور 1,برج العامري,2005.0,712.0,شركات إحياء وتنمية فلاحية ناشطة
,15.0,برج النور 2,برج العامري,2005.0,717.0,شركات إحياء وتنمية فلاحية ناشطة
,16.0,السعـــادة,طبربة,2006.0,251.0,شركات إحياء وتنمية فلاحية ناشطة
,17.0,الهـــناء,طبربة,2008.0,142.0,شركات إحياء وتنمية فلاحية ناشطة
,18.0,سنابل اتقان,طبربة,2015.0,173.0,شركات إحياء وتنمية فلاحية ناشطة
المجموعة 1,,,,,,شركات إحياء وتنمية فلاحية ناشطة
الشركات الغير مسندة عددها : 06,,,,,,شركات إحياء وتنمية فلاحية ناشطة
,,,,,,شركات إحياء وتنمية فلاحية ناشطة
المجموعة2,,,,,,شركات إحياء وتنمية فلاحية ناشطة
