_id,Campagne agricole,Type_arbo,Superficie_hectare,Production_tonne
1,2017/2018,قوارص,3,"53,3"
2,2017/2018,لوز جاف,258,627.2
3,2017/2018,خوخ,163.5,606.3
4,2017/2018,تفاح,5.5,"23,75"
5,2017/2018,إجاص,10,"49,8"
6,2017/2018,تين,15,"22,5"
7,2018/2019,قوارص,3,48
8,2018/2019,لوز جاف,258,591
9,2018/2019,خوخ,159,671
10,2018/2019,تفاح,5.5,27
11,2018/2019,إجاص,10,43
12,2018/2019,تين,15,22
13,2019/2020,قوارص,3,"48,5"
14,2019/2020,لوز جاف,258,659
15,2019/2020,خوخ,159,556
16,2019/2020,تفاح,5.5,23
17,2019/2020,إجاص,2,6
18,2019/2020,تين,3,"4,2"
19,2020/2021,قوارص,3,"28,4"
20,2020/2021,لوز جاف,258,804
21,2020/2021,خوخ,26.5,388
22,2020/2021,تفاح,5.5,28
23,2020/2021,إجاص,2,7
24,2020/2021,تين,3,6
25,2021/2022,قوارص,3,29
26,2021/2022,لوز جاف,258,952
27,2021/2022,خوخ,26.5,357
28,2021/2022,تفاح,5.5,57
29,2021/2022,إجاص,2,11
30,2021/2022,تين,3,9
31,2022/2023,قوارص,3,28
32,2022/2023,مشمش,"0,5",3
33,2022/2023,لوز جاف,200,710
34,2022/2023,خوخ,14,"95,6"
35,2022/2023,الفستق,"8,5",18
36,2022/2023,تفاح,0,0
37,2022/2023,إجاص,2,10
38,2022/2023,تين,3,9
