_id,Campagne agricole,Culture,Conduite_culturale,Superficie_cultivee_hectares,Production_tonnes
1,2017/2018,القرط,en sec,1000,4500
2,2017/2018,السيلاج,en sec,0,0
3,2017/2018,الاعلاف الخضراء,en sec,63,2205
4,2017/2018,القرط,en irrigué,20,100
5,2017/2018,السيلاج,en irrigué,0,0
6,2017/2018,الاعلاف الخضراء,en irrigué,32,1280
7,2018/2019,القرط,en sec,1050,5250
8,2018/2019,السيلاج,en sec,0,0
9,2018/2019,الاعلاف الخضراء,en sec,66,2310
10,2018/2019,القرط,en irrigué,0,0
11,2018/2019,السيلاج,en irrigué,0,0
12,2018/2019,الاعلاف الخضراء,en irrigué,72,2880
13,2019/2020,القرط,en sec,1050,4725
14,2019/2020,السيلاج,en sec,0,0
15,2019/2020,الاعلاف الخضراء,en sec,55,1650
16,2019/2020,القرط,en irrigué,0,0
17,2019/2020,السيلاج,en irrigué,0,0
18,2019/2020,الاعلاف الخضراء,en irrigué,117.5,4025
19,2020/2021,القرط,en sec,1050,6300
20,2020/2021,السيلاج,en sec,0,0
21,2020/2021,الاعلاف الخضراء,en sec,99,3465
22,2020/2021,القرط,en irrigué,0,0
23,2020/2021,السيلاج,en irrigué,0,0
24,2020/2021,الاعلاف الخضراء,en irrigué,20,800
25,2021/2022,القرط,en sec,1050,6300
26,2021/2022,السيلاج,en sec,0,0
27,2021/2022,الاعلاف الخضراء,en sec,61,2125
28,2021/2022,القرط,en irrigué,0,0
29,2021/2022,السيلاج,en irrigué,0,0
30,2021/2022,الاعلاف الخضراء,en irrigué,"94,5",3475
31,2022/2023,القرط,en sec,1000,2100
32,2022/2023,السيلاج,en sec,0,0
33,2022/2023,الاعلاف الخضراء,en sec,35,200
34,2022/2023,القرط,en irrigué,0,0
35,2022/2023,السيلاج,en irrigué,0,0
36,2022/2023,الاعلاف الخضراء,en irrigué,"50,5",750
