_id,Campagne agricole,Culture,Superficie_irriguee_hectares,Production_irriguee_tonnes
1,2017/2018,البصل الشتوي,2,40
2,2017/2018,الثوم,0,0
3,2017/2018,السفنارية,1,30
4,2017/2018,اللفت,4,80
5,2017/2018,البسباس,1,25
6,2017/2018,البروكلو والكرمب,4,100
7,2017/2018,القنارية,7.5,150
8,2017/2018,الجلبانة,0,0
9,2017/2018,الفول,0.5,3.5
10,2017/2018,المعدنوس,2,40
11,2017/2018,الكلافس,1,10
12,2017/2018,السلق,2,40
13,2017/2018,السبناخ,1,20
14,2017/2018,الخص,0.5,5
15,2017/2018,أنواع أخرى,9,162
16,2018/2019,البطاطا,1,8
17,2018/2019,البصل الشتوي,3,60
18,2018/2019,الثوم,0,0
19,2018/2019,السفنارية,3,90
20,2018/2019,اللفت,2,40
21,2018/2019,البسباس,2,50
22,2018/2019,البروكلو و الكرمب,"0,5","12,5"
23,2018/2019,القنارية,7,140
24,2018/2019,الجلبانة,"0,5",3
25,2018/2019,الفول,2,14
26,2018/2019,المعدنوس,2,40
27,2018/2019,الكلافس,2,20
28,2018/2019,السلق,1,20
29,2018/2019,السبناخ,1,20
30,2018/2019,الخص ,"1,5",30
31,2018/2019,أنواع اخرى,3,54
32,2019/2020,البطاطا,0,0
33,2019/2020,البصل الشتوي,3,60
34,2019/2020,الثوم,0,0
35,2019/2020,السفنارية,2,60
36,2019/2020,اللفت,1,20
37,2019/2020,البسباس,2,50
38,2019/2020,البروكلو و الكرمب,1,25
39,2019/2020,القنارية,2,40
40,2019/2020,الجلبانة,2,12
41,2019/2020,الفول,1,7
42,2019/2020,المعدنوس,2,40
43,2019/2020,الكلافس,1,10
44,2019/2020,السلق,1,20
45,2019/2020,السبناخ,1,20
46,2019/2020,الخص ,2,40
47,2019/2020,أنواع اخرى,1,18
48,2020/2021,البطاطا,3,60
49,2020/2021,البصل الشتوي,3,602
50,2020/2021,الثوم,0,0
51,2020/2021,السفنارية,2,60
52,2020/2021,اللفت,1,20
53,2020/2021,البسباس,2,50
54,2020/2021,البروكلو و الكرمب,2,50
55,2020/2021,القنارية,1,20
56,2020/2021,الجلبانة,"0,5",3
57,2020/2021,الفول,0,0
58,2020/2021,المعدنوس,1,10
59,2020/2021,الكلافس,1,20
60,2020/2021,السلق,1,20
61,2020/2021,السبناخ,1,20
62,2020/2021,الخص ,2,40
63,2020/2021,أنواع اخرى,1,18
64,2021/2022,البطاطا,3,54
65,2021/2022,البصل الشتوي,2,36
66,2021/2022,الثوم,0,0
67,2021/2022,السفنارية,3,90
68,2021/2022,اللفت,1,20
69,2021/2022,البسباس,3,75
70,2021/2022,البروكلو و الكرمب,1,20
71,2021/2022,القنارية,4,72
72,2021/2022,الجلبانة,1,6
73,2021/2022,الفول,1,8
74,2021/2022,المعدنوس,4,80
75,2021/2022,الكلافس,2,20
76,2021/2022,السلق,3,60
77,2021/2022,السبناخ,3,60
78,2021/2022,الخص ,3,60
79,2021/2022,أنواع اخرى,6,120
