annee,delegation,nombre_de_ports,nombre_de_chantier_naval_de_construction,nombre_de_chantier_naval_de_reparation,nombre_de_fabriques_de_glace,nombre_de_moyens_de_transport_frigorifique,nombre_dunites_de_confection_montage_de_filets,feuille
2022,Médenine Sud,1,0,2.0,2,56,0,Feuil2
2022,Sidi Makhlouf,1,0,0.0,2,10,0,Feuil2
2022,Ajim,1,0,1.0,5,10,1,Feuil2
2022,Houmet Essouk,1,0,1.0,3,25,0,Feuil2
2022,Midoun,1,0,0.0,0,3,0,Feuil2
2022,Zarzis,2,2,2.0,4,100,0,Feuil2
2022,Médenine Nord,0,0,0.0,0,0,0,Feuil2
2022,Ben Guerdane,1,0,1.0,1,10,0,Feuil2
2023,Médenine Sud,1,0,2.0,2,56,0,Feuil2
2023,Sidi Makhlouf,1,0,0.0,2,10,0,Feuil2
2023,Ajim,1,0,1.0,5,10,1,Feuil2
2023,Houmet Essouk,1,1,1.0,3,25,0,Feuil2
2023,Midoun,1,0,0.0,1,3,0,Feuil2
2023,Zarzis,2,2,2.0,4,180,0,Feuil2
2023,Médenine Nord,0,0,0.0,0,0,0,Feuil2
2023,Ben Guerdane,1,0,1.0,1,11,0,Feuil2
2024,Médenine Sud,1,0,1.0,2,60,0,Feuil2
2024,Sidi Makhlouf,0,0,0.0,2,15,0,Feuil2
2024,Ajim,1,0,1.0,5,12,1,Feuil2
2024,Houmet Essouk,1,1,,3,27,0,Feuil2
2024,Midoun,0,0,0.0,1,5,0,Feuil2
2024,Zarzis,1,3,,4,190,0,Feuil2
2024,Médenine Nord,0,0,0.0,0,0,0,Feuil2
2024,Ben Guerdane,1,0,0.0,1,18,0,Feuil2
