annee,delegation,effectif_bovin_en_tete,feuille
2016,MANOUBA,128,Feuil2
2016,DOUAR HICHER,182,Feuil2
2016,OUED ELLIL,2283,Feuil2
2016,MORNAGUIA,2500,Feuil2
2016,BORJ EL AMRI,1878,Feuil2
2016,DJEDAIDA,4014,Feuil2
2016,TEBOURBA,2119,Feuil2
2016,EL BATTANE,3896,Feuil2
2017,MANOUBA,115,Feuil2
2017,DOUAR HICHER,175,Feuil2
2017,OUED ELLIL,1558,Feuil2
2017,MORNAGUIA,2250,Feuil2
2017,BORJ EL AMRI,1723,Feuil2
2017,DJEDAIDA,3906,Feuil2
2017,TEBOURBA,1907,Feuil2
2017,EL BATTANE,3666,Feuil2
2018,MANOUBA,98,Feuil2
2018,DOUAR HICHER,204,Feuil2
2018,OUED ELLIL,1355,Feuil2
2018,MORNAGUIA,2018,Feuil2
2018,BORJ EL AMRI,1993,Feuil2
2018,DJEDAIDA,3878,Feuil2
2018,TEBOURBA,2027,Feuil2
2018,EL BATTANE,2427,Feuil2
2019,MANOUBA,83,Feuil2
2019,DOUAR HICHER,201,Feuil2
2019,OUED ELLIL,1608,Feuil2
2019,MORNAGUIA,2465,Feuil2
2019,BORJ EL AMRI,1784,Feuil2
2019,DJEDAIDA,3944,Feuil2
2019,TEBOURBA,2306,Feuil2
2019,EL BATTANE,2309,Feuil2
2020,MANOUBA,92,Feuil2
2020,DOUAR HICHER,201,Feuil2
2020,OUED ELLIL,1642,Feuil2
2020,MORNAGUIA,3243,Feuil2
2020,BORJ EL AMRI,1559,Feuil2
2020,DJEDAIDA,4635,Feuil2
2020,TEBOURBA,2704,Feuil2
2020,EL BATTANE,2734,Feuil2
2021,MANOUBA,138,Feuil2
2021,DOUAR HICHER,179,Feuil2
2021,OUED ELLIL,1937,Feuil2
2021,MORNAGUIA,2478,Feuil2
2021,BORJ EL AMRI,2448,Feuil2
2021,DJEDAIDA,4707,Feuil2
2021,TEBOURBA,2785,Feuil2
2021,EL BATTANE,2178,Feuil2
2022,MANOUBA,150,Feuil2
2022,DOUAR HICHER,166,Feuil2
2022,OUED ELLIL,1974,Feuil2
2022,MORNAGUIA,2794,Feuil2
2022,BORJ EL AMRI,2344,Feuil2
2022,DJEDAIDA,4121,Feuil2
2022,TEBOURBA,2997,Feuil2
2022,EL BATTANE,2324,Feuil2
2023,MANOUBA,65,Feuil2
2023,DOUAR HICHER,146,Feuil2
2023,OUED ELLIL,1564,Feuil2
2023,MORNAGUIA,2330,Feuil2
2023,BORJ EL AMRI,2450,Feuil2
2023,DJEDAIDA,3772,Feuil2
2023,TEBOURBA,2946,Feuil2
2023,EL BATTANE,2377,Feuil2
2024,MANOUBA,60,Feuil2
2024,DOUAR HICHER,100,Feuil2
2024,OUED ELLIL,1582,Feuil2
2024,MORNAGUIA,1979,Feuil2
2024,BORJ EL AMRI,1795,Feuil2
2024,DJEDAIDA,3589,Feuil2
2024,TEBOURBA,2495,Feuil2
2024,EL BATTANE,1790,Feuil2
