delegation,secteur,nom_du_gdap,date_de_la_constitution_du_gdap,zones_d_intervention,superficie_d_intervention_ha,date_du_dernier_conseil_dentreprise,nombre_des_adherents,nature_d_intervention_du_gdap,feuille
عين دراهم,وادي الزان,مجمع التنمية وادي الزان,2008-05-17 00:00:00,وادي الزان,6726,2015-08-12 00:00:00,210,المجال الفلاحي والغابي,Feuil1
عين دراهم,الحمران,مجمع التنمية بالحمران,2015-11-04 00:00:00,الحمران,4123,2015-11-04 00:00:00,120,المجال الفلاحي,Feuil1
عين دراهم,تاقمة,مجمع التنمية بتاقمة,2005,تاقمة,2863,2010,30,المجال الفلاحي,Feuil1
عين دراهم,الخمائرية,مجمع التنمية لمياه الري,2006-05-26 00:00:00,المنطقة السقوية بحمام بورقيبة,86,2017-06-09 00:00:00,60,مياه الري,Feuil1
عين دراهم,الخمائرية,مجمع التنمية في تربية النحل : خمير,2016-11-02 00:00:00,الخمائرية,5951,2016-11-02 00:00:00,36,تربية النحل,Feuil1
عين دراهم,سلول,مجمع التنمية أولاد هلال,2000-07-29 00:00:00,شمال عمادة سلول,1832,2009,50,المجال الفلاحي,Feuil1
عين دراهم,سلول,مجمع التنمية وادي الزرع,2010-02-05 00:00:00,جنوب عمادة سلول,1900,2011-09-13 00:00:00,200,المجال الفلاحي,Feuil1
فرنانة,وادي غريب وسيدي عمار,مجمع التنمية بربرة,2005-04-25 00:00:00,المنطقة السقوية بفرنانة,780,2015-05-14 00:00:00,297,مجمع يعنى بالمنطقة السقوية,Feuil1
فرنانة,وادي غريب,مجمع التنمية الازدهار,2004-06-28 00:00:00,وادي غريب,4354,2004-06-28 00:00:00,165,المجال الفلاحي,Feuil1
فرنانة,قلوب الثيران,مجمع التنمية قلوب الثيران,2001,قلوب الثيرا ن الشمالية والجنوبية,7079,2015-09-10 00:00:00,84,المجال الفلاحي,Feuil1
فرنانة,قلوب الثيران,مجمع التنمية بالتلة,2015-11-10 00:00:00,التلة,800,2015-11-10 00:00:00,45,تثمين المنتوج الغابي,Feuil1
فرنانة,قلوب الثيران,مجمع الحراير,2017-03-01 00:00:00,قلوب الثيران الشمالية,1200,جانفي 2019,40,نشاط نسوي,Feuil1
فرنانة,الجواودة,مجمع التنمية : عين حراث,2004,عين حراث- العريقيب – الصفصافة – المجماجة,1190,2015-11-18 00:00:00,51,المجال الفلاحي والغابي,Feuil1
طبرقة,الحمام,مجمع التنمية المهلهلية,2006,المهلهلية,1100,2012,100,الماء الصالح للشراب,Feuil1
طبرقة,الناظور,مجمع التنمية : البركة,2002-04-17 00:00:00,الناظور,3620,2015-11-06 00:00:00,201,المجال الفلاحي,Feuil1
طبرقة,الناظور,مجمع النماء الفلاحي بارضة,2015-10-06 00:00:00,ارضة خدومة,700,2015-10-06 00:00:00,89,المجال الفلاحي والغابي,Feuil1
طبرقة,الناظور,مجمع التنمية بطغزاز,2016-08-23 00:00:00,طغزاز,900,2016-08-23 00:00:00,128,مجمع مائي,Feuil1
غار الدماء,عين سلطان,مجمع التنمية بعين سلطان,2000-04-16 00:00:00,عين سلطان,6254,2015-11-06 00:00:00,103,المجال الفلاحي,Feuil1
غار الدماء,عين سلطان,"مجمع التنمية في تربية النحل ""عسلنا""",2016-09-05 00:00:00,عين سلطان,6254,2016-09-05 00:00:00,54,تربية النحل,Feuil1
غار الدماء,وشتاتة,مجمع التنمية الشهيد,2002,الشهيد,1100,2002,42,المجال الفلاحي,Feuil1
غار الدماء,الصرية,مجمع التنمية بالصرية,2017-01-31 00:00:00,الصرية,6080,2017-01-31 00:00:00,168,المجال الفلاحي,Feuil1
