gouvernorat,date,superficie_en_hectar,feuille
Siliana,2014,640.0,Feuil1
Siliana,2015,650.0,Feuil1
Sousse,2007,350.0,Feuil1
Sousse,2008,530.0,Feuil1
Sousse,2009,560.0,Feuil1
Sousse,2010,660.0,Feuil1
Sousse,2011,220.0,Feuil1
Sousse,2012,510.0,Feuil1
Sousse,2013,500.0,Feuil1
Sousse,2014,540.0,Feuil1
Sousse,2015,390.0,Feuil1
Zaghouan,2007,350.0,Feuil1
Zaghouan,2008,290.0,Feuil1
Zaghouan,2009,530.0,Feuil1
Zaghouan,2010,540.0,Feuil1
Zaghouan,2011,470.0,Feuil1
Zaghouan,2012,640.0,Feuil1
Zaghouan,2013,350.0,Feuil1
Zaghouan,2014,450.0,Feuil1
Zaghouan,2015,350.0,Feuil1
