المعتمدية,مجامع_التنمية_الاخرى,مجامع_التنمية_المايية,المنخرطون_في_التعاضديات_من_اناث,مجموع_المنخرطون_في_التعاضديات,عدد_تعاضديات_الخدمات,feuille
قبلي الجنوبية,10,28,13.0,727,8,Feuil1
قبلي الشمالية,2,25,4.0,14,2,Feuil1
سوق الأحد,4,24,,410,2,Feuil1
دوز الشمالية,3,6,13.0,686,4,Feuil1
دوز الجنوبية,8,11,21.0,608,3,Feuil1
الفوار,4,11,10.0,155,7,Feuil1
رجيم معتوق,3,33,3.0,7,1,Feuil1
كامل الولاية,34,138,64.0,2607,27,Feuil1
