date,elevage,unite_femelle,feuille
2008,Industriel,30000,Feuil2
2008,traditionnel,69000,Feuil2
2009,Industriel,24000,Feuil2
2009,traditionnel,56000,Feuil2
2010,Industriel,25000,Feuil2
2010,traditionnel,55000,Feuil2
2011,Industriel,30000,Feuil2
2011,traditionnel,40000,Feuil2
2012,Industriel,25000,Feuil2
2012,traditionnel,37000,Feuil2
2013,Industriel,26500,Feuil2
2013,traditionnel,37500,Feuil2
2014,Industriel,27000,Feuil2
2014,traditionnel,28000,Feuil2
2015,Industriel,26500,Feuil2
2015,traditionnel,25500,Feuil2
2016,Industriel,28000,Feuil2
2016,traditionnel,25000,Feuil2
2017,Industriel,36000,Feuil2
2017,traditionnel,19000,Feuil2
2018,Industriel,26000,Feuil2
2018,traditionnel,21000,Feuil2
2019,Industriel,22000,Feuil2
2019,traditionnel,19000,Feuil2
2020,Industriel,20000,Feuil2
2020,traditionnel,19000,Feuil2
2021,Industriel,16000,Feuil2
2021,traditionnel,19000,Feuil2
2022,Industriel,15000,Feuil2
2022,traditionnel,19000,Feuil2
2023,Industriel,15000,Feuil2
2023,traditionnel,21000,Feuil2
2024,Industriel,13000,Feuil2
2024,traditionnel,21000,Feuil2
2025,Industriel,14000,Feuil2
2025,traditionnel,21000,Feuil2
